Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,3.3744208812713623,1.0204402208328247,106.59758758544922,0.7144832230484681,-2.0465303141138516,-101.37327521835189,1.6454709,-0.5767765,13.991457,1.0737296,-20.823446,-0.40637216,12.703025,-27.353773,59.07364,14.069796,3.5013647,9.55716,-9.448261,-14.924477,45.27612,61.928516,-3.5830371,3.9129226,-15.639408,7.1918073,0.32954517,21.60825,5.807758,-12.414531,-4.334171,5.5915766,-8.159152,-2.6732583,5.501703,-9.851245,8.280153
1,3.5074141025543213,0.8938978314399719,106.57676696777344,0.7594560832362637,-1.9913793213965245,-101.47560027320365,1.692533,-0.6076024,13.918548,1.0761888,-20.673025,-0.40115026,12.729277,-27.336554,59.158443,14.058829,3.4896204,9.525075,-9.342507,-14.941791,45.253075,61.91987,-3.570907,3.911826,-15.654594,7.209586,0.1465552,21.690958,5.7985554,-12.522721,-4.237081,5.5600176,-8.339745,-2.5880883,5.5206876,-9.901291,8.41093
2,3.645906925201416,0.7593697309494019,106.55318450927734,0.7963852804758669,-1.936089600603262,-101.57361946524986,1.7339085,-0.637839,13.853464,1.0862913,-20.532583,-0.3704117,12.782455,-27.305222,59.18222,14.052489,3.4960938,9.47606,-9.235526,-14.960747,45.215595,61.899727,-3.5745873,3.9089026,-15.665995,7.239795,-0.033422187,21.774052,5.7784266,-12.63334,-4.139969,5.5332065,-8.514722,-2.5090647,5.5397134,-9.956021,8.544331
3,3.7809133529663086,0.6224246025085449,106.5328369140625,0.8455493117087411,-1.8815633661207685,-101.67967356663142,1.7776517,-0.68290156,13.78727,1.0952704,-20.387878,-0.3388085,12.837215,-27.275526,59.220222,14.037726,3.4943058,9.442696,-9.135721,-14.96905,45.18541,61.892315,-3.5748825,3.9079015,-15.676325,7.2545066,-0.2231819,21.85744,5.78171,-12.752247,-4.040185,5.5062995,-8.7038965,-2.4231668,5.561048,-10.012902,8.679468
4,3.916598081588745,0.4784810245037079,106.50719451904297,0.8973421832509849,-1.8107110440853902,-101.79413508657667,1.821387,-0.7338483,13.698537,1.0942394,-20.235487,-0.31269014,12.882804,-27.250036,59.302296,14.010762,3.4743984,9.448936,-9.037971,-14.968437,45.15928,61.885063,-3.5734987,3.9251359,-15.682198,7.267315,-0.42181778,21.947094,5.7685776,-12.870792,-3.9405239,5.4571447,-8.89973,-2.3223019,5.58806,-10.072126,8.817946
5,4.049903392791748,0.33183997869491577,106.48056030273438,0.9567422968509548,-1.7291896053142295,-101.92296174449801,1.8678077,-0.81141704,13.605052,1.0858985,-20.084763,-0.2462537,12.974908,-27.222645,59.337223,13.953359,3.450004,9.501921,-8.940369,-14.954958,45.113945,61.86107,-3.597259,3.9668696,-15.672348,7.264815,-0.62897503,22.043291,5.76303,-12.993512,-3.8398345,5.3890615,-9.106476,-2.2022586,5.620236,-10.1318245,8.959136
6,4.180464744567871,0.19026489555835724,106.4510498046875,1.019518104401373,-1.6375951293098336,-102.0605183920759,1.9181153,-0.89005446,13.492205,1.0639694,-19.92256,-0.19668269,13.04168,-27.207336,59.44034,13.882679,3.3974786,9.605392,-8.843765,-14.936361,45.079277,61.84124,-3.6135733,4.0275035,-15.658703,7.252581,-0.84027076,22.143705,5.750439,-13.110286,-3.7395906,5.301052,-9.316943,-2.067519,5.654208,-10.18675,9.100307
7,4.312089920043945,0.039032965898513794,106.41966247558594,1.0898822103793988,-1.5360455926558354,-102.20483605913836,1.9677374,-0.9901161,13.372397,1.0424408,-19.764357,-0.13277096,13.1366205,-27.191315,59.52151,13.8003025,3.356311,9.706253,-8.752847,-14.899471,45.033245,61.82657,-3.6395874,4.0893755,-15.643915,7.2314034,-1.0632864,22.24617,5.742539,-13.23509,-3.6366315,5.1979175,-9.54052,-1.9212517,5.6995144,-10.249398,9.245821
8,4.45510721206665,-0.11710096150636673,106.38491821289062,1.1703540908332233,-1.4217439110323806,-102.35247248905554,2.0146866,-1.1023741,13.237702,1.0229908,-19.608534,-0.094176926,13.214207,-27.167797,59.64997,13.735002,3.3239405,9.776593,-8.66409,-14.861652,44.996933,61.807266,-3.645378,4.149095,-15.640566,7.196836,-1.3084472,22.34591,5.732283,-13.362839,-3.522519,5.0729136,-9.786422,-1.7637597,5.7545624,-10.313073,9.401366
9,4.590389728546143,-0.2727867066860199,106.34622192382812,1.256117960613758,-1.2934141352844704,-102.50110073219584,2.0518625,-1.2371522,13.093812,1.0188183,-19.46197,-0.04249175,13.321805,-27.124058,59.744343,13.688515,3.3315516,9.795753,-8.589931,-14.799796,44.9587,61.81098,-3.6472251,4.1949916,-15.648866,7.144425,-1.5547969,22.441885,5.724207,-13.48887,-3.410785,4.706808,-10.041026,-1.5036699,6.213934,-10.575904,9.552443
