Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.5943545699119568,0.9996454119682312,107.15315246582031,1.3952804711590336,1.7153014925287284,-92.27665187075254,8.656592,0.67429674,-0.52316684,21.244207,-15.018892,27.864048,89.08817,40.503418,73.465744,12.955676,-1.6620867,-4.728565,99.04374,-63.13859,-83.58169,48.50644,5.7478895,7.6078,6.893117,-0.25175664,1.7886145,16.01687,6.5206523,-8.709395,-3.8966022,2.995652,-8.250527,-8.450781,5.7744894,-9.872395,7.515927
1,-0.5935394167900085,0.9976112246513367,107.15080261230469,1.395309379956075,1.7246082012384112,-92.2773332394603,8.617239,0.50631344,-0.6152707,21.305449,-15.044901,25.9856,89.233734,38.483128,73.59654,12.7088785,-1.8263419,-4.590247,98.03005,-63.500656,-82.549065,48.75893,5.765684,7.6095304,6.5839167,-0.28798598,1.7955536,16.00804,6.573371,-8.736012,-3.8967495,2.9854443,-8.251731,-8.448143,5.7739844,-9.871551,7.5185018
2,-0.5924046635627747,0.9950056672096252,107.1497573852539,1.3945197365540705,1.7360024013662931,-92.27841277832032,8.583569,0.35777408,-0.70607495,21.361994,-15.06719,24.155846,89.254616,36.539436,73.59885,12.494461,-1.9308715,-4.4018874,96.978,-63.86391,-81.44118,49.060814,5.8152223,7.584535,6.228399,-0.31082532,1.7988292,16.003576,6.595591,-8.747659,-3.8966992,2.9723036,-8.252162,-8.444134,5.7731633,-9.8698225,7.5211
3,-0.5908129811286926,0.9907441139221191,107.15143585205078,1.395561630007853,1.7459760078696949,-92.27909528433788,8.540886,0.22694968,-0.79348904,21.425917,-15.085253,22.428898,89.190056,34.69329,73.53772,12.307347,-2.0096478,-4.1871185,95.91836,-64.225334,-80.32754,49.357456,5.8754272,7.560009,5.861001,-0.30017042,1.7900728,16.00828,6.553569,-8.727355,-3.895293,2.9621227,-8.255003,-8.441687,5.7726955,-9.869604,7.52428
4,-0.5832913517951965,0.9913580417633057,107.14912414550781,1.3944568993702067,1.7551707405687138,-92.27675607204095,8.483822,0.10984484,-0.8769431,21.497713,-15.105686,20.82932,89.053055,32.94872,73.4244,12.157975,-2.0682707,-3.95392,94.81061,-64.58265,-79.17078,49.626755,5.9469914,7.5424614,5.4683633,-0.34290218,1.795209,15.994656,6.614379,-8.756949,-3.8908653,2.950711,-8.258849,-8.441809,5.7721725,-9.86669,7.529958
5,-0.5804824829101562,0.9929646849632263,107.14912414550781,1.3930275027522248,1.7606721274609483,-92.27025260177493,8.413517,7.69355e-06,-0.9536839,21.574518,-15.130957,19.36308,88.85116,31.307386,73.25875,12.045654,-2.1012151,-3.6941102,93.63303,-64.933945,-77.94537,49.868706,6.0493536,7.534227,5.0358257,-0.3578129,1.796863,15.985068,6.6250844,-8.759804,-3.8891952,2.944548,-8.2583,-8.447839,5.771337,-9.864732,7.531289
6,-0.5761566758155823,0.9941970705986023,107.14997863769531,1.390731887409213,1.7639149742444045,-92.26065357402489,8.334655,-0.10180045,-1.0272996,21.653805,-15.159081,18.024889,88.59468,29.772766,73.051735,11.962915,-2.113057,-3.4116457,92.39737,-65.27744,-76.65915,50.095425,6.17596,7.5301714,4.572599,-0.36592063,1.7974248,15.974445,6.6257014,-8.757393,-3.8868825,2.9417055,-8.257228,-8.458163,5.7719564,-9.86464,7.5327334
7,-0.5765203237533569,0.9949893951416016,107.15164184570312,1.3888361159205243,1.7679371682357983,-92.2508701138201,8.2506275,-0.1968362,-1.1012304,21.735968,-15.185346,16.8143,88.29115,28.345718,72.81879,11.913624,-2.1184132,-3.1276195,91.10924,-65.61162,-75.31586,50.30861,6.291328,7.522947,4.094199,-0.363987,1.7977366,15.966602,6.6073327,-8.745908,-3.8874114,2.9383051,-8.253509,-8.4682665,5.7718024,-9.864511,7.5310593
8,-0.5771885514259338,0.9957128167152405,107.15142822265625,1.3909874364805077,1.77415826836866,-92.2443087635749,8.165144,-0.2878668,-1.1767431,21.82163,-15.207183,15.729657,87.94601,27.026047,72.573906,11.902027,-2.1317627,-2.8625028,89.76896,-65.935074,-73.91431,50.5092,6.3597445,7.5064006,3.6153035,-0.37442955,1.7957759,15.958183,6.6084595,-8.743895,-3.886624,2.9311464,-8.25542,-8.473573,5.7723484,-9.86402,7.5308285
9,-0.5793276429176331,0.9955319762229919,107.15048217773438,1.3976455813678301,1.7858656323887472,-92.24181658749758,8.078286,-0.37533796,-1.2552454,21.911245,-15.224976,14.778406,87.56342,25.811745,72.324875,11.943142,-2.1628087,-2.6292722,88.38153,-66.24668,-72.45555,50.695957,6.3616066,7.478634,3.1498423,-0.3841476,1.7873101,15.953938,6.5983734,-8.736799,-3.8849785,2.9172587,-8.262698,-8.472106,5.771934,-9.862322,7.531434
