Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0.3745238780975342,3.3676400184631348,106.88887023925781,-1.477917495208463,-5.576746379089261,-87.43480864654012,-1.9272343,-0.699375,11.149675,2.4372892,-8.825441,-1.9306378,8.807907,-12.114839,69.49017,8.334935,6.28239,7.9552712,-2.6033995,-7.933501,2.5517313,64.87428,-30.830612,-9.344188,-0.5949432,9.699837,9.755437,6.917527,5.603548,-11.732296,-8.659498,10.054791,-3.5570786,-19.58109,5.603382,-8.308102,7.5440955
1,0.3767656087875366,3.3779053688049316,106.893798828125,-1.4756836982872634,-5.552623371019554,-87.43789590928692,-1.8595818,-0.6596654,11.232382,2.4376993,-8.999115,-2.072455,8.82341,-12.185765,69.45578,8.372765,6.393913,7.7894382,-2.6576593,-7.941952,2.5947528,64.89848,-30.789701,-9.338053,-0.72856194,9.662428,9.751573,6.908082,5.599952,-11.718826,-8.655097,10.017503,-3.563053,-19.56639,5.6013546,-8.295572,7.5417852
2,0.37771689891815186,3.386688709259033,106.89813232421875,-1.4714527356577063,-5.531103786852967,-87.44341277740924,-1.7823784,-0.6195304,11.312087,2.4299765,-9.1661005,-2.2232938,8.840117,-12.308041,69.44222,8.379884,6.503812,7.635452,-2.707999,-7.953349,2.6518524,64.92906,-30.736437,-9.330507,-0.87141585,9.629808,9.746051,6.9022374,5.5967717,-11.7070875,-8.65124,9.983817,-3.5703049,-19.550722,5.599023,-8.283548,7.539456
3,0.3780055344104767,3.3944811820983887,106.90296936035156,-1.4683529754500164,-5.504497646470344,-87.44439733247614,-1.7059462,-0.5762819,11.390496,2.4185376,-9.337795,-2.387711,8.854502,-12.409723,69.43063,8.387751,6.611207,7.4728465,-2.755472,-7.963341,2.692019,64.94969,-30.68074,-9.324137,-1.0058594,9.590134,9.742778,6.890336,5.5932236,-11.69442,-8.647996,9.945411,-3.575783,-19.537733,5.596613,-8.272285,7.536496
4,0.38085341453552246,3.4043750762939453,106.90884399414062,-1.4662450764275112,-5.464830922362479,-87.43431169412452,-1.6195351,-0.52965075,11.461317,2.3798196,-9.515513,-2.6017237,8.886559,-12.540701,69.44025,8.322083,6.710655,7.2944317,-2.7914925,-7.983204,2.7192779,64.950005,-30.576586,-9.321766,-1.1251123,9.529317,9.740369,6.861619,5.588424,-11.676803,-8.64282,9.891762,-3.5815516,-19.530558,5.594132,-8.259069,7.533926
5,0.38344597816467285,3.4115548133850098,106.91515350341797,-1.4653543127039796,-5.4107903339697945,-87.41189691275753,-1.5473046,-0.48018432,11.52466,2.3429275,-9.70292,-2.843544,8.912717,-12.569595,69.463066,8.294586,6.8107986,7.053302,-2.8342557,-7.994231,2.7098105,64.94626,-30.451593,-9.319637,-1.218489,9.447552,9.741455,6.8158684,5.583134,-11.656336,-8.63833,9.824702,-3.5848904,-19.530298,5.5904107,-8.246528,7.5306187
6,0.38071152567863464,3.4282426834106445,106.92295837402344,-1.4639264045996465,-5.346459285694499,-87.38083245379322,-1.4730988,-0.43306026,11.587677,2.2943392,-9.902583,-3.1021905,8.969167,-12.578115,69.46842,8.245437,6.9193945,6.7578464,-2.8699841,-8.010203,2.6699772,64.92461,-30.295944,-9.325249,-1.2840331,9.344472,9.746303,6.7553926,5.5758834,-11.626313,-8.636234,9.741178,-3.5854483,-19.53272,5.5860023,-8.229271,7.5224624
7,0.3800923228263855,3.4477181434631348,106.93098449707031,-1.4639136951150347,-5.271770417118428,-87.34087306477265,-1.4098893,-0.38556913,11.649475,2.2413907,-10.110271,-3.382064,9.028048,-12.559189,69.46168,8.1648655,7.0086412,6.4978127,-2.9124858,-8.023223,2.6276534,64.88749,-30.143143,-9.333374,-1.3491696,9.223694,9.7523575,6.680591,5.5672936,-11.591162,-8.632306,9.646289,-3.5856383,-19.540762,5.578874,-8.208313,7.51462
8,0.38125157356262207,3.46443772315979,106.94099426269531,-1.4602908810851647,-5.18744225878542,-87.29237185187033,-1.3562858,-0.33570626,11.715112,2.176356,-10.326837,-3.688784,9.085005,-12.548345,69.4289,8.008484,7.057696,6.352728,-2.9592052,-8.038558,2.5958421,64.81646,-30.017849,-9.346266,-1.4290076,9.08771,9.753467,6.5912423,5.5604744,-11.556185,-8.624853,9.541926,-3.5911832,-19.556168,5.57394,-8.188809,7.508534
9,0.3778840899467468,3.486783027648926,106.95233154296875,-1.4532670058845385,-5.096637265355571,-87.23506969856108,-1.3062993,-0.28959435,11.795376,2.0935845,-10.558798,-3.9935026,9.18445,-12.5868435,69.33019,7.637873,7.0563893,6.3279123,-3.0018222,-8.070481,2.571066,64.69386,-29.937536,-9.372293,-1.5214161,8.936405,9.753586,6.485822,5.5519924,-11.51402,-8.617172,9.4286175,-3.5982864,-19.579283,5.5661907,-8.164155,7.499655
