Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0.33348047733306885,1.6450749635696411,107.04933166503906,-1.0136366268834234,3.3229717330363444,-86.15918573382132,-7.6380916,-0.5380563,0.6091432,-20.60155,-16.81348,84.692024,68.0644,73.2868,51.7203,-8.451805,9.448169,2.7322793,22.931726,-84.48425,-40.331646,74.38933,-6.175367,-1.1016182,-2.4122665,0.7214729,8.332411,7.2599773,5.5858984,-9.24999,-8.344629,0.05609392,-0.32084224,-14.583725,5.6146994,-10.643531,2.5694275
1,0.33108410239219666,1.6623785495758057,107.04917907714844,-1.0213689657953033,3.3020354840139405,-86.15335283086822,-7.590704,-0.38119707,0.4181498,-20.692589,-16.66061,83.67103,68.57253,72.19651,52.084206,-8.685441,9.259934,3.6190875,21.222736,-84.837166,-38.58071,74.741684,-5.969854,-1.3714714,-2.8836002,0.73347545,8.344324,7.251737,5.587754,-9.241493,-8.34745,-0.060566474,-0.30808076,-14.558457,5.619805,-10.519385,2.5230432
2,0.3302913010120392,1.6776189804077148,107.05424499511719,-1.025012936365797,3.2841815112957597,-86.14919509016423,-7.5510135,-0.24407554,0.23220056,-20.773916,-16.511211,82.62415,69.04545,71.06149,52.448364,-8.937063,9.054036,4.537887,19.565222,-85.08624,-36.89788,74.966156,-5.7756443,-1.5977291,-3.3960145,0.7435838,8.349338,7.2438846,5.5879006,-9.232627,-8.347676,-0.13319856,-0.29971,-14.5446205,5.620746,-10.435248,2.4876747
3,0.323992520570755,1.6966100931167603,107.04794311523438,-1.0048479093776175,3.283114075439179,-86.15730260819566,-7.4927907,-0.14499554,0.03746181,-20.859709,-16.36675,81.529724,69.48485,69.898415,52.765495,-9.1902895,8.854699,5.4603605,17.993242,-85.24707,-35.299885,75.10248,-5.6058574,-1.7903814,-3.917859,0.7320324,8.326828,7.2426057,5.5898957,-9.221637,-8.344498,0.05999723,-0.32101464,-14.595055,5.6060734,-10.601848,2.5290549
4,0.3189447820186615,1.7125191688537598,107.0536880493164,-1.0305676591116286,3.256868098982839,-86.14615506772277,-7.4378767,-0.012710449,-0.11454585,-20.957441,-16.225264,80.28243,69.887276,68.61723,53.013912,-9.438428,8.670224,6.396837,16.520807,-85.310165,-33.78118,75.15433,-5.4796352,-1.9431584,-4.4405613,0.75014216,8.363784,7.2357783,5.5915217,-9.21363,-8.354426,-0.22267997,-0.28794366,-14.527062,5.624862,-10.337466,2.4460523
5,0.3217333257198334,1.7312887907028198,107.05162048339844,-1.0081589336148569,3.2666616488388196,-86.16064659625023,-7.344611,0.06583369,-0.29943055,-21.064785,-16.086538,78.85934,70.25128,67.19716,53.19624,-9.70172,8.492814,7.3656354,15.1511345,-85.27857,-32.34707,75.11331,-5.4053063,-2.0358675,-4.9599295,0.7275094,8.330957,7.2470026,5.591803,-9.20322,-8.344357,0.056758296,-0.31506598,-14.593581,5.604184,-10.591456,2.5224838
6,0.32008203864097595,1.7496695518493652,107.05097961425781,-1.0105165635526425,3.265130021105632,-86.16550692833455,-7.2525377,0.15966433,-0.46398416,-21.177652,-15.946299,77.287865,70.57632,65.64996,53.332417,-9.976665,8.317123,8.366105,13.889775,-85.160515,-31.006363,74.99283,-5.37041,-2.0815134,-5.4876127,0.7167214,8.333955,7.2569704,5.5931897,-9.193967,-8.345067,0.08916686,-0.31379274,-14.598393,5.6030216,-10.623026,2.5333822
7,0.3211852014064789,1.7653765678405762,107.06047058105469,-1.0364526942341064,3.2494979177881587,-86.16079869062392,-7.164819,0.2660675,-0.60515785,-21.293087,-15.807743,75.58321,70.86047,63.974453,53.435646,-10.23509,8.150996,9.3679905,12.747621,-84.95939,-29.763153,74.8089,-5.3678627,-2.1040475,-6.028013,0.7230121,8.365819,7.2633886,5.595042,-9.187337,-8.350743,-0.025697175,-0.28570247,-14.5691395,5.630991,-10.532476,2.502167
8,0.3197203576564789,1.783383846282959,107.06244659423828,-1.0478311373399547,3.2422602627055417,-86.16548213166591,-7.066484,0.34706786,-0.74869704,-21.40827,-15.673314,73.76476,71.10185,62.174767,53.51952,-10.449934,8.003178,10.33991,11.732809,-84.67742,-28.620695,74.572205,-5.3913713,-2.1245508,-6.5838847,0.72082597,8.380054,7.27296,5.5949526,-9.177871,-8.353505,-0.07041343,-0.27355832,-14.55086,5.6403174,-10.495147,2.490133
9,0.3138313591480255,1.7993690967559814,107.06539154052734,-1.053745558225466,3.2357225609817255,-86.17529675663384,-6.9614706,0.41090187,-0.8866616,-21.523388,-15.54021,71.83083,71.29675,60.249985,53.589058,-10.646395,7.8726087,11.293488,10.849702,-84.31535,-27.58156,74.288895,-5.4561815,-2.1500275,-7.153444,0.71953034,8.389926,7.2830515,5.5952086,-9.168357,-8.357201,-0.09842041,-0.26618347,-14.531085,5.6448817,-10.466666,2.4802465
10,0.31423628330230713,1.8157521486282349,107.0633773803711,-1.0368558299417496,3.2418772018943787,-86.19773727169532,-6.842539,0.44228527,-1.0338275,-21.638302,-15.407785,69.78713,71.44128,58.2109,53.63908,-10.830741,7.756429,12.238183,10.09866,-83.8758,-26.649382,73.95373,-5.560113,-2.166823,-7.735008,0.7052541,8.365344,7.298458,5.596072,-9.159466,-8.349626,0.07492316,-0.29091755,-14.555656,5.6321826,-10.6171875,2.53078
11,0.3174479901790619,1.8319573402404785,107.05087280273438,-1.021060987899825,3.248689714285073,-86.221516757067,-6.7231975,0.4650079,-1.1734195,-21.750666,-15.280174,67.65296,71.531685,56.068306,53.6653,-10.945258,7.663723,13.144616,9.482398,-83.357765,-25.825659,73.56207,-5.6699667,-2.1693907,-8.337396,0.69118845,8.341204,7.314348,5.5979133,-9.152314,-8.341538,0.24042715,-0.31833407,-14.562891,5.6205826,-10.8819895,2.6260762
12,0.3213259279727936,1.846766710281372,107.04296875,-1.0547032843724722,3.226263632595975,-86.22182559938761,-6.6298356,0.52672076,-1.2684916,-21.859047,-15.162855,65.445015,71.56409,53.83038,53.66398,-10.932084,7.6049066,13.985289,9.003812,-82.75572,-25.110205,73.10777,-5.7523293,-2.1530032,-8.971876,0.7103106,8.382562,7.3186355,5.599042,-9.147263,-8.348766,-0.12733048,-0.28594568,-14.448273,5.645988,-10.641401,2.5651977
13,0.32491472363471985,1.8632460832595825,107.03654479980469,-1.0514944329571305,3.2296742660502042,-86.23980650903569,-6.5252776,0.5438446,-1.3812827,-21.956327,-15.054835,63.187588,71.537384,51.527252,53.634453,-10.754478,7.603024,14.726345,8.664129,-82.0717,-24.506168,72.57634,-5.7815733,-2.1016262,-9.6310005,0.6989601,8.374368,7.331619,5.5995746,-9.13978,-8.3444605,-0.06845677,-0.29289863,-14.446662,5.6403704,-10.721228,2.5904105
14,0.3209463059902191,1.8813799619674683,107.0250244140625,-1.0334087846850606,3.2447072558266443,-86.26578101663645,-6.416466,0.5370448,-1.4955428,-22.04642,-14.955027,60.89026,71.44776,49.172504,53.57569,-10.45114,7.651106,15.391142,8.464538,-81.30523,-24.014223,71.97087,-5.780297,-2.0226634,-10.313364,0.67418444,8.3514,7.3486633,5.5985775,-9.129565,-8.340823,-0.021149546,-0.3117068,-14.438444,5.6032033,-10.745885,2.60267
15,0.3189623951911926,1.9039850234985352,107.02556610107422,-1.0405303887780801,3.2443134314426194,-86.27923352513868,-6.3196826,0.546443,-1.581383,-22.14078,-14.868223,58.570965,71.29008,46.775143,53.48581,-10.07896,7.7136345,16.029848,8.40223,-80.452515,-23.633251,71.2995,-5.7902727,-1.936325,-11.031292,0.66186017,8.359931,7.356992,5.598002,-9.116667,-8.342299,-0.04870925,-0.303977,-14.419479,5.607569,-10.727292,2.592357
16,0.3242654502391815,1.9209097623825073,107.02925872802734,-1.0411630346770262,3.2463461052265328,-86.29359671046718,-6.218568,0.54312265,-1.6611602,-22.250114,-14.799414,56.259697,71.061134,44.357967,53.361683,-9.694882,7.754963,16.68947,8.470938,-79.5119,-23.362392,70.56751,-5.855213,-1.8585671,-11.793158,0.6506492,8.355059,7.3665676,5.598266,-9.108309,-8.336985,-0.0649427,-0.30781615,-14.402194,5.607201,-10.715061,2.5914288
17,0.3193676173686981,1.9359526634216309,107.03450775146484,-1.0505021222969189,3.2402268789939614,-86.30053761487135,-6.1218495,0.5432101,-1.7251232,-22.380865,-14.7500725,53.970085,70.75686,41.935234,53.200256,-9.292477,7.766609,17.36539,8.6599,-78.47639,-23.198854,69.7691,-5.9830537,-1.8074095,-12.641724,0.6489128,8.368937,7.3720565,5.5978503,-9.098649,-8.340746,-0.11864206,-0.2970161,-14.3783245,5.629288,-10.682757,2.5757353
