Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.1231825351715088,-2.197113513946533,105.62899017333984,0.22466364948326245,-1.2792082104014093,90.5072645094878,-1.0399461,0.611346,9.898197,-2.2254639,-18.930061,-6.5858526,8.31642,-31.86373,55.849003,25.230297,9.525244,-1.1499302,-7.808839,-5.6896877,21.178074,65.083885,-23.287458,-0.47385204,-5.3483057,2.0044744,1.4360212,6.207478,8.108827,-8.029831,-1.8990439,4.2221065,-4.5450573,-19.167772,6.776088,-9.912454,6.7036586
1,-1.2079461812973022,-2.1721293926239014,105.62318420410156,0.2410782355513691,-1.2567658975964917,90.52296033523837,-1.1180961,0.6003721,9.908046,-2.1508262,-18.980227,-6.5459056,8.307108,-31.911356,55.560463,25.747494,10.25217,-0.96918446,-7.8790216,-5.708321,21.189285,65.131226,-23.297857,-0.4751438,-5.304981,1.963291,1.3556224,6.181529,8.162248,-8.074126,-1.830602,4.1986485,-4.6348925,-19.181715,6.814777,-9.9246025,6.7743125
2,-1.3017464876174927,-2.1414272785186768,105.61837005615234,0.2576356096141894,-1.2344966571325875,90.53917747254177,-1.1740791,0.6004994,9.915674,-2.0991673,-19.026121,-6.548606,8.263461,-31.991129,55.340614,26.241842,10.957615,-0.78132933,-7.916852,-5.757248,21.195854,65.13256,-23.287315,-0.46592975,-5.2535095,1.9327942,1.2688498,6.1582336,8.201116,-8.114611,-1.756862,4.2014713,-4.723132,-19.205002,6.809474,-9.91642,6.8515058
3,-1.3966562747955322,-2.118957042694092,105.61341094970703,0.2737187850666961,-1.2119735723012905,90.55432956537277,-1.2201164,0.60818756,9.920023,-2.062939,-19.071182,-6.568828,8.194634,-32.076183,55.15873,26.77339,11.66984,-0.5983566,-7.942668,-5.8179665,21.188618,65.12539,-23.281672,-0.4581117,-5.205369,1.8906244,1.1824849,6.1326003,8.255033,-8.15908,-1.6823,4.189463,-4.814977,-19.222527,6.821944,-9.911787,6.9277887
4,-1.4887490272521973,-2.0916144847869873,105.6081314086914,0.2895480656286862,-1.1889048906221986,90.56685958057899,-1.2597967,0.62475425,9.91934,-2.0453436,-19.112886,-6.5998316,8.103229,-32.167343,55.01021,27.383442,12.41174,-0.42558852,-7.9643307,-5.885078,21.170586,65.12933,-23.284355,-0.45880663,-5.172979,1.8536496,1.0972584,6.110625,8.303357,-8.202978,-1.6100105,4.180386,-4.904623,-19.239164,6.832479,-9.909152,7.002813
5,-1.5890882015228271,-2.057657480239868,105.60203552246094,0.3013434184242059,-1.1662647345676036,90.57699187277646,-1.2980756,0.652288,9.91262,-2.052698,-19.151083,-6.636736,7.983986,-32.27551,54.878777,28.15722,13.256412,-0.27157572,-7.98696,-5.955923,21.146399,65.15956,-23.305645,-0.47707668,-5.1645412,1.8178513,1.0114374,6.090949,8.361294,-8.257072,-1.5345738,4.190502,-4.990167,-19.260628,6.8141584,-9.894577,7.082586
6,-1.7038700580596924,-2.025756597518921,105.59683227539062,0.31181345251440906,-1.1438307709533353,90.5853060570264,-1.3327793,0.6883182,9.899993,-2.080161,-19.185726,-6.68349,7.8367076,-32.397408,54.774635,29.048336,14.170178,-0.13527898,-8.009188,-6.029776,21.115135,65.209625,-23.340681,-0.5078373,-5.173762,1.7837791,0.91769934,6.0733786,8.41466,-8.308594,-1.4507952,4.219873,-5.076885,-19.287668,6.754862,-9.85515,7.17003
7,-1.8239803314208984,-1.9934149980545044,105.59121704101562,0.32370605027556526,-1.1197177650141557,90.59096346604467,-1.3551617,0.7284869,9.882932,-2.116183,-19.220171,-6.7477984,7.671248,-32.51118,54.730858,29.90148,15.014469,-0.0042715943,-8.023244,-6.1068187,21.06748,65.25731,-23.370216,-0.5360314,-5.18931,1.7522107,0.8181517,6.05903,8.4636135,-8.36016,-1.3637985,4.244408,-5.1704564,-19.311535,6.7006927,-9.816468,7.2615376
8,-1.9368261098861694,-1.9587268829345703,105.5845718383789,0.33928587586868125,-1.0923454835062623,90.59335444702741,-1.3585721,0.76874614,9.8643675,-2.147203,-19.25564,-6.833358,7.5046425,-32.59218,54.76943,30.557999,15.651892,0.14030655,-8.022237,-6.187323,20.995392,65.27911,-23.375362,-0.5465698,-5.199033,1.7199627,0.71763015,6.0477514,8.505734,-8.407606,-1.2803657,4.2459717,-5.2712736,-19.325457,6.686272,-9.799311,7.350736
9,-2.056412935256958,-1.9261430501937866,105.57830047607422,0.3599353365034746,-1.0598084359602222,90.58928346754902,-1.3383949,0.8068299,9.845204,-2.1665928,-19.29512,-6.9380984,7.352397,-32.628296,54.895645,30.973555,16.010693,0.3121431,-8.007323,-6.271396,20.911919,65.270905,-23.34572,-0.52854943,-5.2086077,1.695059,0.6049755,6.0450597,8.52298,-8.443605,-1.192107,4.2330766,-5.3857965,-19.330036,6.6823606,-9.782415,7.445844
