Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0,0,105.39857482910156,0.9986678213041373,-2.991911823331009,-89.30497942738513,1.3246789,-0.776133,8.143969,-0.116578154,-19.348078,-0.61461496,9.997979,-22.299934,62.12668,7.9064574,7.788154,5.9551773,-4.3154545,-7.946782,20.392014,65.43762,-21.640461,7.9140434,-4.9526935,7.8694534,-3.0547493,3.8263075,5.5412,-10.998396,0.6416928,11.188215,0.6711684,-15.359527,5.059586,-13.16216,-0.6333147
1,-0.006380081177,0.01058959961,105.39630889892578,1.0095649005821947,-3.0029971320241096,-89.30438338206078,1.3242236,-0.7941554,8.139701,-0.101786725,-19.291014,-0.6278142,9.980356,-22.329922,62.14699,7.8955064,7.7812924,5.965358,-4.3219104,-7.9330106,20.413319,65.45491,-21.623297,7.9070244,-4.9481173,7.8759007,-3.064611,3.8283892,5.5414762,-10.992785,0.64026797,11.324857,0.6963588,-15.401545,4.818859,-13.04575,-0.632
2,-0.01634311676,0.01060676575,105.3908920288086,1.0270847047787452,-3.018708902854397,-89.304071609304,1.3210694,-0.8200069,8.138226,-0.087195076,-19.233978,-0.6426659,9.961142,-22.358875,62.17708,7.8849664,7.7727866,5.9749556,-4.3314157,-7.917722,20.439789,65.476944,-21.599743,7.8981776,-4.944533,7.894037,-3.0808632,3.8336117,5.5413027,-10.993422,0.6381674,11.459189,0.71173346,-15.4489,4.6088586,-12.95189,-0.6252586
3,-0.01043272018,0.01201629639,105.39849853515625,1.0413285000434567,-3.0359478238845043,-89.30410239285042,1.3169637,-0.8437267,8.143225,-0.0740477,-19.18364,-0.6446229,9.952624,-22.374413,62.18067,7.8857927,7.770496,5.9764633,-4.3333297,-7.91084,20.456625,65.47794,-21.587378,7.8918505,-4.933261,7.9124074,-3.1031947,3.8390715,5.541942,-10.99431,0.6454737,11.335033,0.65441155,-15.432287,4.8685822,-13.064815,-0.6118537
4,-0.006864547729,0.01620292664,105.4083480834961,1.0467582095058057,-3.050140477047397,-89.30500144097392,1.3138112,-0.857965,8.141012,-0.061685264,-19.130943,-0.64914495,9.9393835,-22.396004,62.19331,7.885756,7.765461,5.9824386,-4.340252,-7.900462,20.482386,65.48977,-21.57646,7.8871946,-4.927368,7.925979,-3.1127598,3.8443837,5.541449,-10.992423,0.64896727,11.037939,0.5631901,-15.366421,5.465064,-13.345652,-0.6038878
5,-0.007173061371,0.01892089844,105.4000473022461,1.0470237950312837,-3.0578938197822083,-89.30792397094532,1.3136183,-0.8659837,8.129498,-0.05099876,-19.076017,-0.6502557,9.924848,-22.411915,62.205605,7.8997912,7.755927,5.98859,-4.347753,-7.890644,20.503672,65.50584,-21.583437,7.8821993,-4.9192653,7.936189,-3.1137888,3.8497338,5.5400653,-10.99316,0.6490937,11.343954,0.64196736,-15.444505,4.901763,-13.08066,-0.601943
6,-0.005439281464,0.02743530273,105.39637756347656,1.0395746689558567,-3.0633517754536514,-89.31230632300831,1.3153253,-0.8645544,8.1159,-0.04284727,-19.023916,-0.6450827,9.911067,-22.42115,62.20768,7.9267106,7.747787,5.994073,-4.3521914,-7.8834705,20.51805,65.51522,-21.606543,7.8797746,-4.9078293,7.937616,-3.105963,3.8545907,5.5413265,-10.990566,0.6487392,11.381975,0.65941375,-15.450401,4.83741,-13.049041,-0.6036388
7,-0.002296447754,0.02960205078,105.40383911132812,1.0283574381409846,-3.0689386326950707,-89.3157524844946,1.317293,-0.8586678,8.103818,-0.03687185,-18.973562,-0.63946134,9.899699,-22.427114,62.206066,7.954511,7.740976,5.9940186,-4.354015,-7.878537,20.527206,65.51793,-21.633934,7.8784957,-4.896629,7.9428725,-3.0939875,3.859615,5.5421815,-10.991147,0.64772886,11.191757,0.6214485,-15.397556,5.1860065,-13.201908,-0.608209
8,-0.0009226799011,0.03153610229,105.40636444091797,1.0228026985870027,-3.075458863046952,-89.31619259912333,1.3169916,-0.8600359,8.093247,-0.03153049,-18.922235,-0.63832235,9.892013,-22.43187,62.208084,7.9728656,7.738018,5.9858575,-4.356961,-7.8754416,20.533123,65.51896,-21.656244,7.878742,-4.8905196,7.950652,-3.0880368,3.862075,5.540812,-10.990871,0.6468526,11.204979,0.6303223,-15.398544,5.1721983,-13.19548,-0.61123246
9,-0.001230716705,0.03901863098,105.40154266357422,1.0245229195228351,-3.083798287635388,-89.31165899256334,1.3131056,-0.86915654,8.083251,-0.024542665,-18.86708,-0.6482241,9.882012,-22.438793,62.224926,7.9731236,7.73988,5.966128,-4.362962,-7.8708663,20.538822,65.52267,-21.666588,7.882021,-4.8960724,7.955107,-3.0898001,3.8590984,5.541963,-10.9878235,0.6464996,11.373237,0.6723319,-15.442239,4.8741093,-13.058984,-0.6140899
