Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0,0,108.24827,-0.472561583,-1.7340759,0.0684023182,-0.126440515,1.86967549,1.52340859,-2.47573373e-15,0,-4.5396609,7.61307826,-49.4238875,76.221619,-4.14505782,-0.000572957781,0.000572957781,-8.00110216,-12.1712263,56.8404176,76.6117457,-1.40246377,-0.000572957833,0.000572957781,-1.41687248,-1.46181832,4.2155458,10.0649343,-7.22437049,2.20979757,-2.25419764,0.587972939,3.22807013,10.6037995,-6.42880542,-0.00201923137
1,0.00404623,0.003967003,108.251238,-0.474939781,-1.73317358,0.0864948243,-0.122356889,1.88630337,1.52155302,-2.15858436e-16,0,-4.53371351,7.61286567,-49.4280436,76.2013948,-3.15763146,-0.000572957781,0.000572957781,-7.98690817,-12.1771148,56.8070863,76.6223462,-2.4231191,-0.000572957833,0.000572957781,-1.41369505,-1.46472959,4.19768016,10.0565306,-7.21593691,2.22232819,-2.25497159,0.586384227,3.21203456,10.6135846,-6.4260059,0.0108364436
2,0.0067411,0.006541528,108.251536,-0.478124452,-1.73250648,0.0941198291,-0.116071381,1.89704513,1.52443323,1.91368518e-15,0,-4.53610237,7.60946338,-49.374232,76.2046733,-2.40259716,-0.000572957833,0.000572957781,-7.98204337,-12.1884896,56.8164095,76.6214856,-3.19212882,-0.000572957833,0.000572957781,-1.41278066,-1.46293538,4.18806069,10.0563949,-7.2186835,2.23884935,-2.25444886,0.586535505,3.21303646,10.6144247,-6.42823211,0.0113187482
3,0.01135543,0.006060709,108.254838,-0.477905028,-1.73113675,0.101970376,-0.109045918,1.87840554,1.51784092,-4.0878631e-15,0,-4.52601333,7.63246831,-49.3592875,76.2048304,-1.83932982,-0.000572957781,0.000572957781,-7.96659007,-12.1704016,56.8194558,76.6190131,-3.76791185,-0.000572957781,0.000572957781,-1.41670642,-1.46247669,4.1790918,10.0638611,-7.20645319,2.23295789,-2.24902569,0.585562256,3.20507907,10.6072872,-6.41725258,0.00925517813
4,0.01787488,0.013229402,108.254385,-0.476965745,-1.72920067,0.102901605,-0.0889046637,1.90098487,1.51587468,-3.17014886e-15,0,-4.51117773,7.6181548,-49.3120978,76.1913681,-1.41811141,-0.000572957781,0.000572957781,-7.9513707,-12.1907547,56.7873607,76.6192521,-4.21377934,-0.000572957781,0.000572957781,-1.41624165,-1.46904338,4.18658793,10.066933,-7.20762457,2.21514241,-2.24292292,0.57972031,3.20332244,10.6005449,-6.4178165,0.00751399683
5,0.02301243,0.015272025,108.256376,-0.474612588,-1.72779398,0.111565371,-0.0970053281,1.9031669,1.51629164,6.13253627e-15,0,-4.51045373,7.6190726,-49.2798456,76.197727,-1.10506879,-0.000572957781,0.000572957781,-7.95002003,-12.1937079,56.8186874,76.6211099,-4.54416882,-0.000572957781,0.000572957781,-1.41645498,-1.47458405,4.18193017,10.0682487,-7.2056293,2.2250735,-2.23997569,0.573873615,3.19874023,10.6000831,-6.41972298,0.00676627954
6,0.02605003,0.018485484,108.265316,-0.476508578,-1.72813208,0.118631499,-0.0780738113,1.91394408,1.5267016,-3.23721131e-15,0,-4.51308549,7.60027678,-49.1871975,76.2268441,-0.83815834,-0.000572957781,0.000572957781,-7.94493239,-12.2064846,56.8202891,76.6097581,-4.79733021,-0.000572957781,0.000572957781,-1.41969975,-1.47513911,4.17453179,10.0740535,-7.19041847,2.23055878,-2.23972084,0.573451637,3.19747131,10.6024557,-6.40373478,-0.000967025908
7,0.03146101,0.021055981,108.271909,-0.470876453,-1.72700685,0.123424761,-0.079929435,1.91458078,1.53331856,1.83923249e-15,0,-4.51066504,7.59731504,-49.1186873,76.2418432,-0.620909499,-0.000572957781,0.000572957781,-7.95342488,-12.2188601,56.8675301,76.6148398,-4.98576531,-0.000572957781,0.000572957781,-1.42489272,-1.48451771,4.1731538,10.0828414,-7.17350948,2.22874473,-2.23335831,0.562763938,3.19997884,10.5921711,-6.39022382,-0.00433925703
8,0.03695451,0.026988273,108.272493,-0.476566992,-1.72499948,0.131431993,-0.061270252,1.93363296,1.54033103,1.60329419e-15,0,-4.51127976,7.58734467,-49.1059114,76.2502785,-0.46069135,-0.000572957781,0.000572957833,-7.96225802,-12.2446884,56.9233839,76.6048882,-5.12096805,-0.000572957833,0.000572957781,-1.4237366,-1.48053368,4.16748816,10.0816845,-7.17482002,2.20838628,-2.23181874,0.566078715,3.19294588,10.5928542,-6.38785929,-0.0175403293
9,0.04110076,0.029567407,108.270609,-0.471686513,-1.72358198,0.139244055,-0.0491655559,1.93646877,1.54280046,3.19200241e-15,0,-4.51002727,7.57940457,-49.0957071,76.2695328,-0.337801786,-0.000572957781,0.000572957781,-7.96483215,-12.2519105,56.9412449,76.6144163,-5.22489322,-0.000572957781,0.000572957781,-1.42433414,-1.49074524,4.16298237,10.0830599,-7.1739654,2.23604556,-2.22827878,0.55691164,3.18754641,10.5905268,-6.39316378,0.00720822747
