Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0,0,108.24827,0.472561583,-1.7340759,-0.0684023182,0.126440515,-1.86967549,1.52340859,2.55637607e-15,0,-8.00096556,12.1711376,-56.8404962,76.6137128,3.50390946,-19.6347994,2.2399488,-4.53906539,-7.6125566,49.4240992,76.2227665,2.73293734,-13.2530711,-11.6791992,-2.25419764,-0.587972939,-3.22807013,10.6037995,-6.42880542,0.00201923074,-1.41687248,1.46181832,-4.2155458,10.0649343,-7.22437049,-2.20979757
1,0.00404623,-0.003967003,108.251238,0.474939781,-1.73317358,-0.0864948243,0.122356889,-1.88630337,1.52155302,-4.44848334e-15,0,-7.98671693,12.176991,-56.8071853,76.6244362,4.91166971,-20.8979832,3.62096801,-4.53306208,-7.61229535,49.4282793,76.2026652,1.48772171,-14.484818,-12.9346724,-2.25497159,-0.586384227,-3.21203456,10.6135846,-6.4260059,-0.0108364436,-1.41369505,1.46472959,-4.19768016,10.0565306,-7.21593691,-2.22232819
2,0.0067411,-0.006541528,108.251536,0.478124452,-1.73250648,-0.0941198291,0.116071381,-1.89704513,1.52443323,2.06584045e-15,0,-7.98180602,12.188336,-56.8165188,76.6236781,6.10879868,-21.9449914,4.78741705,-4.53540783,-7.60885379,49.3744847,76.2060462,0.446160256,-15.4878535,-13.951738,-2.25444886,-0.586535505,-3.21303646,10.6144247,-6.42823211,-0.011318749,-1.41278066,1.46293538,-4.18806069,10.0563949,-7.2186835,-2.23884935
3,0.01135543,-0.006060709,108.254838,0.477905028,-1.73113675,-0.101970376,0.109045918,-1.87840554,1.51784092,2.07979361e-15,0,-7.96631345,12.170224,-56.8195685,76.621308,7.12729471,-22.8219553,5.78655078,-4.52528164,-7.63182627,49.3595505,76.2062784,-0.412437398,-16.3159047,-14.797306,-2.24902569,-0.585562256,-3.20507907,10.6072872,-6.41725258,-0.00925517897,-1.41670642,1.46247669,-4.1790918,10.0638611,-7.20645319,-2.23295789
4,0.01787488,-0.013229402,108.254385,0.476965745,-1.72920067,-0.102901605,0.0889046637,-1.90098487,1.51587468,5.64966084e-15,0,-7.95106078,12.1905558,-56.7874768,76.6216222,8.01425113,-23.5640536,6.63672705,-4.51041744,-7.61748715,49.3123607,76.1928434,-1.10064336,-16.502321,-15.4828692,-2.24292292,-0.57972031,-3.20332244,10.6005449,-6.4178165,-0.00751399683,-1.41624165,1.46904338,-4.18658793,10.066933,-7.20762457,-2.21514241
5,0.02301243,-0.015272025,108.256376,0.474612588,-1.72779398,-0.111565371,0.0970053281,-1.9031669,1.51629164,-1.45541755e-15,0,-7.94968108,12.1934911,-56.8188035,76.6235483,8.77294854,-24.1995242,7.36576223,-4.50967808,-7.61839385,49.2800881,76.1990316,-1.55790841,-14.8068273,-15.9422592,-2.23997569,-0.573873615,-3.19874023,10.6000831,-6.41972298,-0.00676627996,-1.41645498,1.47458405,-4.18193017,10.0682487,-7.2056293,-2.2250735
6,0.02605003,-0.018485484,108.265316,0.476508525,-1.72813208,-0.118631498,0.0780738113,-1.91394408,1.5267016,-8.68931632e-16,0,-7.94456783,12.2062524,-56.8204018,76.612258,9.43109789,-24.736389,7.99672401,-4.5123077,-7.5995929,49.1874639,76.2280394,-1.34324432,-13.6928388,-16.2171794,-2.23972084,-0.573451637,-3.19747131,10.6024557,-6.40373478,0.000967025386,-1.41969975,1.47513911,-4.17453179,10.0740535,-7.19041847,-2.23055878
7,0.03146101,-0.021055981,108.271909,0.470876453,-1.72700685,-0.123424761,0.079929435,-1.91458078,1.53331845,-1.57090781e-15,0,-7.95303812,12.2186142,-56.8676394,76.6173875,9.99962063,-25.202114,8.53930911,-4.50988981,-7.5966286,49.1189707,76.2429565,-1.07813757,-12.9360607,-16.3680429,-2.23335831,-0.562763938,-3.19997884,10.5921711,-6.39022382,0.00433925662,-1.42489272,1.48451771,-4.1731538,10.0828414,-7.17350948,-2.22874473
8,0.03695451,-0.026988249,108.272493,0.476566992,-1.72499948,-0.131431993,0.061270252,-1.93363296,1.54033103,6.30700594e-15,0,-7.96185077,12.2444306,-56.9234898,76.6074837,10.4846657,-25.6033056,9.01965583,-4.51050709,-7.58665909,49.1062119,76.2513303,-0.843434021,-12.3254546,-16.4450635,-2.23181874,-0.566078715,-3.19294588,10.5928542,-6.38785929,0.0175403293,-1.4237366,1.48053368,-4.16748816,10.0816845,-7.17482002,-2.20838628
9,0.04110076,-0.029567407,108.270609,0.471686513,-1.72358198,-0.139244055,0.0491655559,-1.93646877,1.54280046,2.91353921e-15,0,-7.96442404,12.2516476,-56.941443,76.6170186,9.24355882,-25.8485982,9.27406927,-4.50925503,-7.57871814,49.0960213,76.270571,-0.795309895,-12.1874352,-16.4969303,-2.22827878,-0.55691164,-3.18754641,10.5905268,-6.39316336,-0.0072082283,-1.42433414,1.49074524,-4.16298237,10.0830599,-7.1739654,-2.23604556
10,0.04479792,-0.031402392,108.282518,0.478094723,-1.72362719,-0.153756182,0.0652350167,-1.94203964,1.55850776,1.88615763e-15,0,-7.98403352,12.2450795,-56.9766321,76.6346474,7.66533774,-25.93945,9.32414054,-4.51207505,-7.56521229,48.9978851,76.3066958,-0.781537406,-12.0894092,-16.5261498,-2.22857739,-0.562073022,-3.17722364,10.5941886,-6.36534144,0.0139761745,-1.42920663,1.48510041,-4.15006819,10.0898739,-7.15405027,-2.23655014
11,0.04869383,-0.03817213,108.284509,0.479876599,-1.72202244,-0.156738426,0.0624772278,-1.94615291,1.57060072,3.99739173e-16,0,-7.99141439,12.2546776,-57.0174117,76.6197575,7.71913744,-26.0115494,9.37491958,-4.52320228,-7.56924552,48.9749733,76.3268722,-0.682949441,-11.8225768,-16.5194067,-2.22766449,-0.560843428,-3.17543435,10.5937259,-6.36320658,0.0189587192,-1.42844453,1.48712844,-4.14465825,10.0881467,-7.15452583,-2.25680485
12,0.05236473,-0.044711527,108.28321,0.47998281,-1.72049988,-0.159030371,0.0480826341,-1.98209998,1.58038646,4.60483563e-15,0,-7.99637055,12.2877707,-57.0309253,76.6208435,7.85633459,-26.0835174,9.42902151,-4.5314587,-7.54216894,48.9948901,76.346953,-0.600547905,-11.6181006,-16.5044333,-2.22698851,-0.554926296,-3.17675065,10.5942262,-6.37038596,-0.00215098536,-1.424016,1.49296089,-4.14937535,10.0800939,-7.1529805,-2.25612973
13,0.05569682,-0.042760244,108.280623,0.474004107,-1.71778349,-0.170014946,0.050604408,-1.95311949,1.58272164,6.816949e-15,0,-7.99809005,12.268741,-57.0500225,76.6135694,7.37886424,-25.7248898,9.41164892,-4.52410173,-7.56727416,48.9912257,76.3513721,-0.753818203,-12.0415518,-16.5224086,-2.21839422,-0.546666463,-3.16533356,10.5805453,-6.37364865,-0.000885886979,-1.42848657,1.500236,-4.13815549,10.0856563,-7.15469871,-2.25157357
14,0.0601912,-0.049902696,108.284211,0.481060105,-1.71628019,-0.17625739,0.0373332204,-1.98034547,1.59506507,-4.15195338e-15,0,-8.01405647,12.2814161,-57.0396099,76.6302897,8.17945804,-25.8852558,9.47766868,-4.53049222,-7.55434802,48.9924995,76.3601421,-0.648911887,-11.7341258,-16.5144361,-2.22017561,-0.551051925,-3.16027346,10.58464,-6.36334062,0.00719802721,-1.42611671,1.49670384,-4.13462812,10.0802724,-7.14703994,-2.24737492
15,0.06558337,-0.051376398,108.291078,0.484762944,-1.71488393,-0.188271717,0.0575330579,-1.9719977,1.60011727,1.30076813e-15,0,-8.02101131,12.2656443,-57.0447701,76.6398725,7.4196806,-25.7921313,9.44290643,-4.53273039,-7.57205444,48.9863148,76.3774839,-0.719988116,-11.8922695,-16.5100203,-2.21755517,-0.553453537,-3.14910738,10.5819105,-6.34701262,0.0122915124,-1.42865007,1.49483973,-4.13014965,10.0817161,-7.1338359,-2.27119201
16,0.07055663,-0.059490546,108.285415,0.487047356,-1.71122967,-0.19220582,0.0507221921,-1.99495546,1.60836483,-3.40103744e-15,0,-8.03259872,12.2809217,-57.0684264,76.6447424,8.06071434,-25.9379149,9.49250299,-4.5375619,-7.56500141,49.0024955,76.384157,-0.649882414,-11.69577,-16.4885548,-2.21551679,-0.548401865,-3.14220057,10.5813171,-6.36305588,-0.00993726323,-1.42042129,1.49939642,-4.12547994,10.0673428,-7.14436976,-2.2659413
17,0.07339884,-0.061543926,108.279943,0.480110006,-1.70867362,-0.196981517,0.0434957986,-1.99718018,1.61686447,-3.32746913e-15,0,-8.04243761,12.277534,-57.0610635,76.6584164,7.48542032,-25.9828985,9.47991752,-4.52686112,-7.56456257,49.0125393,76.3700527,-0.690934146,-11.8388685,-16.4897193,-2.2072482,-0.537160227,-3.13208079,10.5675116,-6.36871939,-0.0328191924,-1.42294932,1.50933382,-4.12514099,10.0707024,-7.14738913,-2.24002799
18,0.07837266,-0.069929414,108.276212,0.489113492,-1.70379375,-0.202955948,0.0362497549,-2.01817917,1.62261709,6.1764625e-15,0,-8.04795043,12.2708831,-57.0123813,76.679146,7.65298705,-26.0672701,9.48748024,-4.5258985,-7.58021139,49.1181511,76.3348908,-0.644933889,-11.7906491,-16.5061937,-2.20535581,-0.54164446,-3.11848743,10.5601623,-6.37202307,-0.0274224274,-1.41527229,1.50548223,-4.1210083,10.0512278,-7.15733517,-2.26320944
19,0.08442235,-0.073224224,108.280623,0.493171102,-1.70037305,-0.212670369,0.0598234125,-2.01903999,1.6280996,-1.24341509e-15,0,-8.04956833,12.2651397,-56.9931202,76.669734,7.50110585,-26.009999,9.47212939,-4.53003546,-7.57628488,49.0771119,76.3734746,-0.74700605,-12.0172671,-16.527591,-2.20134521,-0.543593358,-3.10637665,10.5529693,-6.35998102,-0.0226592343,-1.41576599,1.50384544,-4.11972721,10.0482157,-7.14862027,-2.25450671
20,0.08824282,-0.078795931,108.278155,0.488909208,-1.69631001,-0.212213291,0.0566020645,-2.02514383,1.63764287,-8.15001383e-16,0,-8.06119331,12.2575753,-56.9552673,76.6840843,7.51670002,-26.0378269,9.46426785,-4.52731704,-7.58288455,49.1196708,76.3522122,-0.667251906,-11.8514821,-16.5423681,-2.19692224,-0.533860926,-3.10032382,10.541609,-6.36781823,-0.0336008421,-1.41410316,1.51316619,-4.11808882,10.0426542,-7.15232992,-2.26598676
