Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-2.39287093,0.203713588,106.351995,0.268043509,-0.978790729,-0.0245923941,0.111257718,-0.804351038,0.158855953,14.0095735,0,13.4906353,16.0329487,-17.628317,59.3885563,3.67949377,-9.2299787,-10.9620634,-0.505763128,-15.3457787,33.2711116,73.6288997,6.66152917,-8.24204391,12.4759032,-2.22820237,-0.150999181,2.77190143,9.00603643,-5.54364236,0.0794164704,-1.91678566,2.59832925,-10.2526604,6.90685249,-4.6435596,-3.3597026
1,-2.39542667,0.211127731,106.345665,0.263474117,-0.977835641,-0.0352568784,0.107857712,-0.787190614,0.163146059,14.0400967,0,13.4440509,16.0377264,-17.7176456,59.422878,3.61298608,-9.25260284,-10.9949585,-0.507672006,-15.3534166,33.2947338,73.6251431,6.6409353,-8.25194769,12.5010442,-2.22431172,-0.149217609,2.78678634,9.0011315,-5.56988266,0.0832870399,-1.9164561,2.59950661,-10.2361859,6.89570264,-4.64228705,-3.3317825
2,-2.39908826,0.215460639,106.349158,0.268159043,-0.982176985,-0.0507818305,0.0936604431,-0.782844426,0.179412101,14.0885176,0,13.3969388,16.0428115,-17.7809734,59.4396803,3.56270522,-9.2544248,-11.0241908,-0.513542607,-15.357122,33.3179052,73.6251431,6.62186499,-8.24728523,12.5264619,-2.2206819,-0.158781674,2.78763221,9.00250181,-5.5505908,0.0929953734,-1.9246122,2.59047475,-10.2414247,6.91242123,-4.63559261,-3.34562217
3,-2.39962954,0.218184828,106.345606,0.270049494,-0.982315131,-0.0721935328,0.0930709524,-0.775171616,0.183048043,14.1390329,0,13.3703489,16.0573171,-17.8568192,59.4257877,3.53658081,-9.22430025,-11.0344933,-0.521313868,-15.3597994,33.3398916,73.6292343,6.62033246,-8.24843526,12.558265,-2.220477,-0.162882763,2.80648332,9.00719159,-5.56311352,0.102844039,-1.92386259,2.58785281,-10.2182328,6.9111077,-4.64982587,-3.32765963
4,-2.39987727,0.224345713,106.349754,0.268370961,-0.983694125,-0.0930992297,0.0966481306,-0.76284067,0.196926106,14.2056332,0,13.3409176,16.0748007,-17.957416,59.3907215,3.48349615,-9.1843223,-11.0110487,-0.528631882,-15.3614404,33.3540848,73.6337764,6.62835665,-8.25826988,12.5691404,-2.22023645,-0.163275859,2.82630176,9.0150002,-5.56499524,0.0990406845,-1.92462052,2.5864857,-10.1966554,6.9053268,-4.63718447,-3.34519635
5,-2.4041228,0.231848494,106.356502,0.264437951,-0.986738621,-0.0987297748,0.0918164388,-0.737688605,0.217256365,14.2667967,0,13.3066778,16.0545304,-17.9971301,59.3813573,3.49418305,-9.18022418,-10.991487,-0.536471766,-15.3774281,33.3525036,73.6336398,6.65137268,-8.26091743,12.5728765,-2.21947317,-0.162401728,2.82962464,9.01964644,-5.56104995,0.0961378007,-1.92849025,2.58635273,-10.1936766,6.91516483,-4.6322582,-3.34194881
6,-2.41054557,0.239611138,106.358671,0.264015673,-0.990484766,-0.102666549,0.0860307149,-0.708876199,0.243640265,14.3306316,0,13.257772,16.039907,-18.084046,59.3839049,3.4775127,-9.16278927,-10.9410393,-0.534748744,-15.3895432,33.3140428,73.6234082,6.67672891,-8.24903717,12.5840379,-2.21777672,-0.165680459,2.82603837,9.02090661,-5.55441271,0.0906184609,-1.93395526,2.58158824,-10.1914542,6.9300777,-4.62799616,-3.33187876
7,-2.41790339,0.244573364,106.359339,0.266669216,-0.993519243,-0.110508112,0.0764148157,-0.68751713,0.276850192,14.4150955,0,13.1709919,16.0426527,-18.2258902,59.4400764,3.45236543,-9.17542512,-10.9026092,-0.548395035,-15.3915359,33.3076429,73.6257305,6.70201683,-8.24178607,12.5653325,-2.22187953,-0.17151144,2.83243142,9.03002662,-5.55189451,0.0991140823,-1.93637506,2.57582442,-10.1841194,6.9342232,-4.63148511,-3.34396499
8,-2.41789948,0.252958341,106.357098,0.261926964,-0.993862543,-0.118023876,0.061380789,-0.661188245,0.299458705,14.4996822,0,13.0637195,16.0466159,-18.3836027,59.5402616,3.40217101,-9.19678142,-10.9287159,-0.554758957,-15.3911517,33.310573,73.6211406,6.76845877,-8.23791165,12.5634901,-2.2191005,-0.171599191,2.83908147,9.02696669,-5.5598457,0.104212932,-1.93715541,2.57815714,-10.1800426,6.93579585,-4.63790463,-3.35399363
9,-2.41880324,0.259834249,106.353176,0.260374931,-0.993802886,-0.130852639,0.0567053911,-0.643093206,0.313052809,14.5892619,0,12.9711644,16.0599211,-18.5070379,59.5845349,3.36593515,-9.16587993,-11.0163242,-0.557116493,-15.3829162,33.314456,73.6124731,6.85346176,-8.21880419,12.5967224,-2.21855643,-0.172525162,2.85555524,9.02932823,-5.57401151,0.100560068,-1.93506303,2.57532923,-10.1621604,6.9256782,-4.63366351,-3.3352326
10,-2.42180191,0.267870096,106.355286,0.25260374,-0.995048031,-0.137802147,0.0462400372,-0.617207803,0.327099414,14.6551322,0,12.8885943,16.0618865,-18.6067586,59.6399482,3.41066307,-9.17408043,-11.0113791,-0.553179849,-15.3780719,33.3185131,73.59912,6.85002404,-8.20205999,12.551212,-2.21542415,-0.167003701,2.86169985,9.02630758,-5.5743368,0.102448035,-1.93784398,2.5809509,-10.1607363,6.92966661,-4.62636802,-3.33322879
11,-2.42508464,0.273631071,106.358075,0.243354652,-0.998456927,-0.140882371,0.030617617,-0.590581805,0.339608878,14.7191004,0,12.7920444,16.0947039,-18.7946418,59.7007096,3.36601221,-9.19156742,-10.9404561,-0.557063932,-15.3785995,33.3563353,73.5845922,6.85456313,-8.15049035,12.5627388,-2.21260648,-0.158522034,2.8628898,9.02549991,-5.57345784,0.0878818429,-1.94352585,2.58906965,-10.1648071,6.94701401,-4.62444404,-3.35530354
12,-2.426604,0.281984033,106.356394,0.23296937,-0.999264924,-0.153655661,0.0260537132,-0.562606631,0.351035598,14.7820354,0,12.6853816,16.1142194,-18.9730344,59.7658013,3.37098885,-9.18975486,-10.8521879,-0.580368858,-15.3766205,33.4294969,73.5986419,6.87107767,-8.14144803,12.5513767,-2.20813698,-0.151719699,2.87251311,9.01825393,-5.58717457,0.115628179,-1.94782694,2.59697346,-10.1596264,6.9491621,-4.62171922,-3.34069056
13,-2.42661573,0.283376407,106.352246,0.238228616,-1.00069752,-0.167678034,0.0305155376,-0.554821549,0.35581529,14.8238208,0,12.587248,16.1476088,-19.153406,59.8043509,3.35397421,-9.16356791,-10.8082655,-0.602168901,-15.3637421,33.465591,73.6198223,6.87981818,-8.12421034,12.6123823,-2.20990045,-0.160836201,2.89507152,9.02805184,-5.60282296,0.121254894,-1.94434291,2.58737021,-10.1290425,6.94131293,-4.62932335,-3.33171526
14,-2.42443327,0.283124088,106.350851,0.249204061,-0.999894167,-0.172517262,0.016114594,-0.561012849,0.355588639,14.883725,0,12.5387947,16.1578507,-19.1846592,59.7883341,3.36267715,-9.11382877,-10.8262554,-0.604219078,-15.3427239,33.484538,73.6232511,6.85287906,-8.13308959,12.6618013,-2.21016256,-0.174620803,2.89971412,9.03232412,-5.60687326,0.127002045,-1.94184028,2.5740475,-10.1316969,6.93754224,-4.63350599,-3.30625424
15,-2.42355205,0.288077793,106.354249,0.240846595,-1.00176215,-0.182832365,0.0211344646,-0.54008643,0.356923274,14.9229473,0,12.4909817,16.1481398,-19.1723103,59.7845434,3.38973025,-9.10691406,-10.8700266,-0.595299438,-15.328734,33.4859586,73.6231555,6.82112807,-8.15457907,12.663648,-2.20171212,-0.167137864,2.90544358,9.02639893,-5.6035158,0.135975566,-1.94624063,2.58297072,-10.1294395,6.95431932,-4.63429488,-3.32024311
16,-2.42324732,0.292291236,106.350148,0.233988366,-1.00191221,-0.19621078,0.0284051126,-0.52439978,0.366840522,14.9538727,0,12.4286434,16.139918,-19.1595327,59.7872344,3.36806574,-9.14084302,-10.9229154,-0.597419625,-15.3138459,33.5029863,73.6235653,6.80154378,-8.18470874,12.6534667,-2.19880694,-0.161407362,2.91679237,9.02701706,-5.61561163,0.14252505,-1.94819428,2.58876912,-10.1113864,6.95189119,-4.62940275,-3.35372213
17,-2.42135227,0.295016589,106.34861,0.234051158,-1.00227171,-0.20315599,0.0252680114,-0.516994787,0.37908417,14.9922072,0,12.3701599,16.1318601,-19.1484951,59.7902261,3.34688511,-9.1834523,-10.9157385,-0.594412741,-15.2871313,33.5052198,73.6268848,6.77615426,-8.18701137,12.6201593,-2.19877002,-0.162735687,2.92416257,9.02701023,-5.61417644,0.136643764,-1.9484058,2.58769977,-10.1073327,6.9522455,-4.62110151,-3.34361537
18,-2.42123194,0.302869477,106.349921,0.224708797,-1.00455706,-0.209877751,0.021671178,-0.487214576,0.396509183,15.0287009,0,12.3036543,16.1325978,-19.166742,59.7777337,3.33144376,-9.21454161,-10.8943694,-0.607313901,-15.27566,33.5192558,73.6378199,6.75075364,-8.18167699,12.5862816,-2.19330544,-0.15637442,2.93281151,9.0217194,-5.61621781,0.14561287,-1.95362044,2.59361578,-10.1032542,6.96716648,-4.61567365,-3.32136582
19,-2.42130961,0.30435659,106.353056,0.225413975,-1.00466008,-0.211210618,0.0214658088,-0.483503542,0.405706326,15.0462818,0,12.2517304,16.1459866,-19.1804126,59.7415951,3.30374863,-9.2209304,-10.8684514,-0.608390616,-15.2515136,33.5044411,73.6458044,6.68918931,-8.19342236,12.5615998,-2.1936288,-0.157401843,2.93290351,9.02330315,-5.61188278,0.141053265,-1.95421018,2.59122116,-10.1002558,6.96659018,-4.61403867,-3.32844894
20,-2.42221616,0.30732241,106.351244,0.231943199,-1.00414553,-0.213686988,0.0161582132,-0.481662966,0.411483546,15.0624232,0,12.2084236,16.1430479,-19.1850315,59.7148686,3.27786392,-9.23963915,-10.8041443,-0.605110844,-15.2288032,33.5018593,73.6466923,6.67549307,-8.1679577,12.5615093,-2.19464757,-0.16701468,2.93714655,9.02503802,-5.61331883,0.14508385,-1.95263839,2.58328918,-10.0991058,6.96347391,-4.62376273,-3.34721083
21,-2.42164321,0.315229828,106.347919,0.22580777,-1.00349052,-0.217308465,0.0130437445,-0.465447136,0.418682699,15.0762851,0,12.1850404,16.1389772,-19.1800642,59.6268206,3.3073095,-9.19484506,-10.7267668,-0.608127333,-15.2117653,33.4927922,73.6440012,6.67090702,-8.16259771,12.5551223,-2.19354321,-0.163955863,2.94223098,9.02021334,-5.61849654,0.139882354,-1.95143969,2.58558092,-10.0941769,6.95660615,-4.6119401,-3.33883616
22,-2.4164062,0.317452056,106.339228,0.229478347,-1.00152336,-0.221839431,0.0169203696,-0.46575172,0.410794337,15.07663,0,12.1821504,16.1463657,-19.1696892,59.5358152,3.34834656,-9.13398551,-10.700889,-0.602279571,-15.1821991,33.5090617,73.6585632,6.67145045,-8.1759661,12.5161722,-2.19341109,-0.171622657,2.95143723,9.02293773,-5.62932751,0.157762282,-1.94465069,2.57957206,-10.080245,6.94202028,-4.61506149,-3.30305515
23,-2.41625737,0.317730266,106.345761,0.243007896,-1.00142242,-0.228926556,0.0194781054,-0.471410372,0.418417309,15.0800519,0,12.1632444,16.16228,-19.1592851,59.4570358,3.37470383,-9.13837903,-10.7642262,-0.614177334,-15.173605,33.5274691,73.6659466,6.70837104,-8.1903889,12.6040853,-2.19345698,-0.191282262,2.95006542,9.02094417,-5.59584165,0.16503051,-1.94483297,2.56199819,-10.0798207,6.94093983,-4.60655321,-3.28144998
24,-2.41383519,0.319572771,106.355476,0.253066882,-1.00004145,-0.242767388,0.0283810668,-0.472721928,0.416467796,15.0786381,0,12.1433114,16.1762153,-19.1565906,59.4141217,3.37481376,-9.20512961,-10.7801909,-0.612951848,-15.1754816,33.5385887,73.6447389,6.73514239,-8.19055282,12.6555209,-2.19319338,-0.203901451,2.96291237,9.02840871,-5.58646081,0.168882003,-1.94229791,2.54745886,-10.0660246,6.93565412,-4.6082313,-3.27167107
25,-2.4131557,0.320189353,106.362987,0.260809022,-0.998944026,-0.2594668,0.0334696745,-0.478396801,0.418004669,15.0697059,0,12.1222641,16.192297,-19.1645341,59.3723346,3.35784565,-9.23778902,-10.7630386,-0.622439461,-15.1638618,33.5740339,73.647471,6.76404476,-8.21257421,12.6725358,-2.19077763,-0.214656077,2.98535488,9.02777778,-5.57601447,0.172220832,-1.94132439,2.53551435,-10.0429659,6.92609783,-4.59189861,-3.26221489
26,-2.41133086,0.32534122,106.358445,0.250933542,-1.00025114,-0.265696522,0.0270938296,-0.458915181,0.431224954,15.0578453,0,12.0538017,16.1604803,-19.1347698,59.4041018,3.37236599,-9.42802515,-10.7330241,-0.635219065,-15.1652893,33.6066037,73.6348897,6.79840488,-8.22318576,12.6986365,-2.18730042,-0.206657539,2.9893324,9.0262333,-5.5870068,0.183107673,-1.94467481,2.54437609,-10.0379098,6.93627652,-4.5936719,-3.24599724
