t,x,y,z
0.000000000,2.012653330,-0.888413101,0.224538359
0.022202015,2.069735335,-0.874859863,0.135598537
0.044440508,2.126208067,-0.861956753,0.042394745
0.066138983,2.180880543,-0.848750196,-0.054258760
0.088832378,2.242283278,-0.822771428,0.011864015
0.105733633,2.287841642,-0.802141682,0.070525537
0.133283854,2.364451939,-0.768299372,0.159499432
0.162079096,2.454748422,-0.727952738,0.254996165
0.184298277,2.514876292,-0.701053504,0.311008491
0.211102486,2.574312113,-0.674626822,0.360663785
0.233660936,2.632786361,-0.648912385,0.405143431
0.254796743,2.691394065,-0.622443927,0.444693008
0.278225183,2.748784419,-0.596348894,0.478585136
0.294331312,2.792575037,-0.577079276,0.500182617
0.315924883,2.849377262,-0.551440405,0.524910270
0.338399887,2.906410882,-0.525838908,0.544017918
0.356295586,2.948384444,-0.507040147,0.554930435
0.383210421,3.019448217,-0.475245449,0.567453259
0.405207396,3.075178114,-0.450518127,0.571027784
0.456059217,3.212278681,-0.389531583,0.559126450
0.505680084,3.320135371,-0.341699190,0.526029169
0.527066231,3.373563116,-0.318442491,0.502777820
0.549851418,3.425842047,-0.295274625,0.474510518
0.577293396,3.490693840,-0.266340358,0.433134184
0.589185238,3.498639785,-0.256873735,0.427324555
