time_s,phase,right_shoulder_pitch_joint_q_rad,right_shoulder_roll_joint_q_rad,right_shoulder_yaw_joint_q_rad,right_elbow_joint_q_rad,right_wrist_roll_joint_q_rad,right_wrist_pitch_joint_q_rad,right_wrist_yaw_joint_q_rad,right_shoulder_pitch_joint_qd_rad_s,right_shoulder_roll_joint_qd_rad_s,right_shoulder_yaw_joint_qd_rad_s,right_elbow_joint_qd_rad_s,right_wrist_roll_joint_qd_rad_s,right_wrist_pitch_joint_qd_rad_s,right_wrist_yaw_joint_qd_rad_s,right_shoulder_pitch_joint_qdd_rad_s2,right_shoulder_roll_joint_qdd_rad_s2,right_shoulder_yaw_joint_qdd_rad_s2,right_elbow_joint_qdd_rad_s2,right_wrist_roll_joint_qdd_rad_s2,right_wrist_pitch_joint_qdd_rad_s2,right_wrist_yaw_joint_qdd_rad_s2
0.0,WINDUP,-0.57,-0.59,0.65,0.0,0.01,0.04,0.7,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.1316282072803006e-12,0.0,0.0,0.0,0.0,0.0,0.0
0.005,WINDUP,-0.57,-0.59,0.65,0.0,0.01,0.04,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-13,0.0,0.0,0.0,0.0,0.0,0.0
0.01,WINDUP,-0.57,-0.59,0.65,0.0,0.01,0.04,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,WINDUP,-0.57,-0.59,0.65,0.0,0.01,0.04,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,WINDUP,-0.57,-0.59,0.65,0.0,0.01,0.04,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.265618631897894,-0.8551373299858778,2.4717770098880987,-2.7826544358621024,-1.923128979035224,-4.665627277405729,-0.37338490111782363
0.025,WINDUP,-0.57,-0.59,0.65,0.0,0.01,0.04,0.7,0.04265618631897894,-0.008551373299858778,0.024717770098880987,-0.027826544358621023,-0.01923128979035224,-0.04665627277405729,-0.0037338490111782363,4.265618631897894,-0.8551373299858778,2.4717770098880987,-2.7826544358621024,-1.923128979035224,-4.665627277405729,-0.37338490111782363
0.03,WINDUP,-0.5695734381368102,-0.5900855137329986,0.6502471777009888,-0.0002782654435862102,0.009807687102096478,0.03953343727225943,0.6999626615098882,0.04265618631897894,-0.008551373299858778,0.024717770098880987,-0.027826544358621023,-0.01923128979035224,-0.04665627277405729,-0.0037338490111782363,1.520922056370555,-0.32742639421656783,0.6958403089563081,-0.8554370153420046,-0.6551677263604005,-1.6828008680501438,-0.2954963593737592
0.035,WINDUP,-0.5695734381368102,-0.5900855137329986,0.6502471777009888,-0.0002782654435862102,0.009807687102096478,0.03953343727225943,0.6999626615098882,0.05786540688268449,-0.011825637242024456,0.03167617318844407,-0.03638091451204107,-0.025782967053956246,-0.06348428145455873,-0.006688812604915828,5.801995648814229,-1.2079233094808295,2.914575238520678,-3.443592155817496,-2.5502853449533083,-6.403819591358703,-0.8865598839791211
0.04,WINDUP,-0.5689947840679833,-0.5902037701054188,0.6505639394328733,-0.000642074588706621,0.009549857431556915,0.03889859445771384,0.699895773383839,0.10067614280712123,-0.020630606394667073,0.05386352248408777,-0.06226246591679598,-0.044734143239885324,-0.11069446868764432,-0.012599447850969447,3.5572992597765474,-0.7154422643307345,1.781311457318413,-2.079201922800871,-1.590988713025855,-3.9509262396602436,-0.5184676517755449
0.045,WINDUP,-0.568566676708739,-0.5902918197969452,0.6507858129258297,-0.0009008901027541701,0.009360345669697625,0.038426492585382985,0.6998366670313785,0.09343839948044996,-0.0189800598853318,0.0494892877616282,-0.05717293374004978,-0.0416928541842148,-0.10299354385116116,-0.011873489122671277,1.035804342174318,-0.16285570181073794,0.6068709497841773,-0.6381546631785563,-0.5282941831009046,-1.161026711412813,-0.04408009672940416
0.05,WINDUP,-0.5680604000731788,-0.5903935707042721,0.6510588323104896,-0.0012138039261071188,0.009132928889714767,0.03786865901920223,0.6997770384926123,0.1110341862288644,-0.022259163412774452,0.05993223198192954,-0.06864401254858155,-0.05001708507089437,-0.12230473580177245,-0.013040248818263489,3.7828182273791366,-0.7206292000849768,2.141240364391672,-2.387682597378972,-1.7740249958651984,-4.160931855571592,-0.3546540054255587
0.055,WINDUP,-0.5674563348464503,-0.590514411431073,0.651385135245649,-0.0015873302282399856,0.00886017481898868,0.03720344522736526,0.6997062645431958,0.13126658175424133,-0.02618635188618157,0.07090169140554492,-0.0810497597138395,-0.05943310414286678,-0.1446028624068771,-0.015420029176926864,4.165746506519241,-0.8030808252812438,2.255162941890987,-2.5342802141225973,-1.9493892336699952,-4.604383959937245,-0.49872401746586803
0.06,WINDUP,-0.5667477342556364,-0.5906554342231339,0.651767849224545,-0.002024301523245514,0.0085385978482861,0.03642263039513346,0.699622838200843,0.15269165129405682,-0.03028997166558689,0.08248386140083941,-0.09398681468980752,-0.06951097740759432,-0.1683485754011449,-0.01802748899292217,4.381067188740095,-0.8320674181261367,2.373759283957888,-2.6326477174676066,-2.0767028329772557,-4.865599488270561,-0.5359868224641406
0.065,WINDUP,-0.5659294183335097,-0.5908173111477288,0.6522099738596574,-0.002527198375138061,0.008165065044912738,0.03551995947335381,0.6995259896532666,0.17507725364164228,-0.034507026067442936,0.0946392842451238,-0.10737623688851557,-0.08020013247263934,-0.1932588572895827,-0.02077989740156827,4.558676746455603,-0.8505975018024969,2.483095946059777,-2.713661223042721,-2.1961137114060767,-5.082854671340856,-0.5636010278642356
0.07,WINDUP,-0.56499696171922,-0.5910005044838084,0.6527142420669962,-0.0030980638921306695,0.007736596523559706,0.03449004182223763,0.6994150392268274,0.19827841875861285,-0.03879594668361186,0.10731482086143718,-0.12112342692023473,-0.09147211452165509,-0.21917712211455345,-0.023663499271564525,4.708022421862079,-0.8608367668050398,2.5819428154627566,-2.774880011984636,-2.3101588981323804,-5.270854854371939,-0.5889379469015132
0.075,WINDUP,-0.5639466341459236,-0.591205270614565,0.6532831220682718,-0.003738432644340408,0.007250343899696187,0.03332818825220828,0.699289354660551,0.22215747786026308,-0.043115393735493335,0.12045871239975137,-0.13512503700836193,-0.10330172145396314,-0.2459674058333021,-0.026669276870583403,4.8301039494969,-0.8628015840861369,2.670669568095585,-2.815285001771009,-2.4193656429505146,-5.432316869609169,-0.6125486382735357
0.08,WINDUP,-0.5627753869406174,-0.5914316584211633,0.6539188291909938,-0.004449314262214289,0.006703579309020075,0.03203036776390461,0.6991483464581215,0.24657945825358185,-0.04742396252447323,0.13402151654239303,-0.14927627693794482,-0.11566577095116023,-0.27350029081064514,-0.029788985654299882,4.92547815068245,-0.8565216995670699,2.749722831615342,-2.8348383764688845,-2.5241014903274004,-5.568291219424162,-0.6345690332176801
0.085,WINDUP,-0.5614808395633878,-0.5916795102398097,0.6546233372336957,-0.005231195413719856,0.006093686190184584,0.030593185344101825,0.698991464804008,0.27141225936708757,-0.051680610731164034,0.1479559407159048,-0.16347342077305077,-0.12854273635723715,-0.3016503180275437,-0.033014967202760204,4.994753254099482,-0.8420999407154905,2.8195071119530013,-2.833857300292528,-2.6246579096442235,-5.6795061500123865,-0.6551077226757407
0.09,WINDUP,-0.5600612643469465,-0.5919484645284749,0.6553983885981528,-0.0060840484699447965,0.005418151945447703,0.029013864583629173,0.6988181967860939,0.2965269907945767,-0.055844961931628134,0.16221658766192304,-0.1776148499408701,-0.14191235004760247,-0.330295352310769,-0.03634006288105729,5.0386019001602556,-0.8196950011818416,2.88037518552553,-2.812830858266699,-2.721244319428859,-5.766603547047444,-0.674252600719738
