Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0.4341026246547699,1.3535568714141846,107.12721252441406,-0.975854511156302,2.5338552880650735,-86.32613207108803,-6.850366,0.0349205,0.5062651,-21.104801,-17.71347,87.15642,69.79395,86.37005,49.525475,-5.0435143,9.21133,6.941458,17.285727,-90.27251,-36.24796,73.75554,-11.222852,1.9166169,-7.1887274,1.1180775,8.712267,18.025858,5.5193696,-6.9710584,-8.176724,0.33053446,-2.7281,-18.630756,5.630334,-8.694991,5.6393523
1,0.4347791075706482,1.3548179864883423,107.12771606445312,-0.9688431553517529,2.540465082413847,-86.32608805046578,-6.7430835,0.13256529,0.33677894,-21.23408,-17.625275,86.29878,70.290054,85.57102,49.81495,-5.165423,9.117094,7.45974,15.49317,-90.438225,-34.35517,73.98079,-10.837396,1.7744743,-7.369058,1.1073501,8.702733,18.024597,5.5214334,-6.9709587,-8.170682,0.3212886,-2.7377043,-18.627455,5.630409,-8.691874,5.6412997
2,0.43521443009376526,1.3560101985931396,107.12797546386719,-0.9610229022582818,2.547917354177284,-86.3254519485001,-6.643342,0.22285843,0.17050064,-21.354935,-17.539736,85.39993,70.75888,84.71473,50.09911,-5.2936883,9.015147,7.997661,13.802532,-90.54709,-32.58037,74.13226,-10.468321,1.6627203,-7.563745,1.0963167,8.692052,18.022936,5.521634,-6.969675,-8.16424,0.31130943,-2.7480698,-18.624409,5.6302752,-8.688596,5.6432877
3,0.43534910678863525,1.356987714767456,107.12926483154297,-0.9545639619771535,2.5551578513325617,-86.32598887919514,-6.5416393,0.30641165,0.0076155323,-21.477682,-17.453781,84.44402,71.20239,83.8135,50.345825,-5.4298253,8.92256,8.552572,12.2160635,-90.61405,-30.921492,74.2407,-10.117533,1.5614117,-7.768109,1.0849057,8.683598,18.021862,5.52317,-6.96884,-8.158956,0.30085942,-2.7567215,-18.620308,5.6310387,-8.685897,5.644656
4,0.4354575276374817,1.3587234020233154,107.12934875488281,-0.9511024249613389,2.5615972044123008,-86.32932549841736,-6.431619,0.3875965,-0.15372565,-21.609713,-17.364048,83.36142,71.62103,82.81087,50.531975,-5.5796723,8.850474,9.1459675,10.727837,-90.63678,-29.371592,74.31062,-9.795732,1.465377,-7.9877844,1.0754937,8.678753,18.023302,5.5239816,-6.967839,-8.155784,0.29082006,-2.7616148,-18.614069,5.630814,-8.682474,5.644967
5,0.4406713545322418,1.3618965148925781,107.1287612915039,-0.9531210898617807,2.5662744129414703,-86.33659785551241,-6.3120337,0.47167566,-0.3182698,-21.753391,-17.268726,82.09939,72.01458,81.67027,50.64562,-5.774199,8.816049,9.827478,9.321587,-90.61513,-27.926836,74.336,-9.502065,1.3802884,-8.234332,1.070095,8.676967,18.028694,5.5227275,-6.967026,-8.152866,0.28126955,-2.7634537,-18.604944,5.6307726,-8.677812,5.64686
6,0.4464136064052582,1.3636081218719482,107.12845611572266,-0.958888293435134,2.569672232892853,-86.3466605591221,-6.1869993,0.5579857,-0.48644444,-21.904129,-17.165264,80.686356,72.3835,80.401855,50.710075,-6.0025907,8.804608,10.5773535,7.9999166,-90.55711,-26.583923,74.32498,-9.231943,1.3055805,-8.503019,1.0674857,8.67975,18.036808,5.5236325,-6.969151,-8.15248,0.2732894,-2.7610474,-18.594091,5.6315365,-8.674749,5.648166
7,0.452739417552948,1.365460991859436,107.12664031982422,-0.9643114461842807,2.5740266210764506,-86.35801334020093,-6.057793,0.640462,-0.6542726,-22.05792,-17.060503,79.17001,72.72865,79.01352,50.75565,-6.208869,8.779974,11.314364,6.78468,-90.467316,-25.336273,74.297844,-8.992001,1.2290562,-8.776807,1.0646623,8.6814995,18.045885,5.523136,-6.970634,-8.151911,0.26480666,-2.7593856,-18.582115,5.6310635,-8.6709385,5.649913
8,0.45564141869544983,1.367668628692627,107.12684631347656,-0.9673759688282898,2.580525079310573,-86.36864936902676,-5.9269447,0.7149667,-0.81614316,-22.210075,-16.958931,77.59964,73.05157,77.51634,50.812298,-6.3357882,8.708232,11.956714,5.6962957,-90.34865,-24.177322,74.27297,-8.789743,1.1397246,-9.039392,1.0581242,8.6824465,18.053303,5.5225234,-6.970295,-8.1515,0.25223964,-2.7585607,-18.569384,5.6318564,-8.667132,5.6497
9,0.4566163718700409,1.3667027950286865,107.12701416015625,-0.965557362539398,2.591169831245442,-86.37892357875178,-5.792694,0.778533,-0.9752501,-22.359549,-16.857964,75.99341,73.35292,75.916534,50.886654,-6.3642054,8.56245,12.474968,4.730639,-90.20045,-23.103287,74.259384,-8.626403,1.0258926,-9.290984,1.0477073,8.678631,18.059555,5.522574,-6.9710584,-8.149947,0.23671453,-2.7624247,-18.55622,5.632415,-8.664362,5.6497517
