Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.1013251468539238,-3.188847303390503,105.57353210449219,0.5346959152679293,-5.6132025540307655,88.22093743920986,0.32493582,1.4940771,10.924488,2.5107763,-2.1000702,-10.391922,6.3770633,-42.27379,76.828674,9.522833,11.629846,10.836674,-4.7014575,-7.794124,22.566648,67.64073,-26.712595,4.100885,1.7620968,10.337306,0.35077354,13.410125,5.7088957,-9.410318,-1.2718399,7.804441,-4.5826488,10.46389,5.802539,-11.259435,4.0770845
1,-0.10481085628271103,-3.1702709197998047,105.57337951660156,0.5357911471256243,-5.600951881995194,88.21325595638903,0.3015336,1.5068004,10.929205,2.5654733,-2.0745466,-10.355385,6.37866,-42.31898,76.77991,9.5087595,11.643244,10.974818,-4.688766,-7.805382,22.57817,67.59976,-26.722929,4.085021,1.7583588,10.330353,0.34688655,13.415208,5.7127147,-9.419441,-1.2706485,7.800768,-4.587251,10.471978,5.802137,-11.268627,4.0781384
2,-0.10755234211683273,-3.1502506732940674,105.57325744628906,0.5375538596051277,-5.589430279796913,88.20544654202034,0.27833757,1.5177282,10.932505,2.6244504,-2.0438616,-10.319984,6.3781743,-42.375156,76.73795,9.487514,11.6557665,11.122771,-4.6833014,-7.811851,22.592758,67.57486,-26.732407,4.0657396,1.751022,10.328755,0.3419373,13.421733,5.713085,-9.429503,-1.2701564,7.798934,-4.5920854,10.479601,5.8025665,-11.279546,4.078612
3,-0.10711416602134705,-3.1325557231903076,105.57233428955078,0.5394584739898636,-5.5789696484619755,88.19675416305408,0.25949687,1.5271301,10.934865,2.6730666,-2.0162811,-10.291625,6.376221,-42.439568,76.70574,9.45534,11.665083,11.255371,-4.6766615,-7.815616,22.606724,67.55221,-26.737999,4.046561,1.7401038,10.333727,0.33790714,13.431025,5.7086678,-9.439685,-1.272127,7.797091,-4.594927,10.488237,5.8017373,-11.287823,4.0771766
4,-0.10926026105880737,-3.115464448928833,105.57119750976562,0.5408352511522125,-5.568208889201143,88.18741733014095,0.24452567,1.5352376,10.934608,2.7003434,-2.0069604,-10.274499,6.373509,-42.494392,76.68943,9.423605,11.66665,11.346497,-4.6670403,-7.817221,22.612343,67.52888,-26.746502,4.0273175,1.7257943,10.338915,0.33299026,13.441413,5.7035494,-9.450228,-1.2728474,7.7935886,-4.5989037,10.497956,5.802143,-11.2964735,4.0775614
5,-0.10859974473714828,-3.09847092628479,105.57107543945312,0.5387534227979313,-5.555882561737405,88.17805914909923,0.22619088,1.5452079,10.930064,2.7056062,-2.0174496,-10.26286,6.3719897,-42.514202,76.68382,9.413677,11.6589575,11.386463,-4.657233,-7.817152,22.609911,67.50563,-26.767443,4.0037975,1.7052362,10.332088,0.33558446,13.449664,5.706733,-9.458659,-1.2753327,7.7883787,-4.596542,10.508727,5.801031,-11.303182,4.0750113
6,-0.10876276344060898,-3.0794222354888916,105.56970977783203,0.5367627726115459,-5.544371727730432,88.16727003477189,0.21061046,1.5538085,10.923533,2.694556,-2.0443733,-10.2573,6.370499,-42.52932,76.68749,9.402049,11.646181,11.392502,-4.6425734,-7.8164997,22.601423,67.47741,-26.79428,3.980272,1.679218,10.3365135,0.33628717,13.462611,5.703942,-9.471473,-1.2786845,7.7851048,-4.594867,10.520239,5.801312,-11.31249,4.072827
7,-0.11019596457481384,-3.0615291595458984,105.56944274902344,0.5344271628744534,-5.531583509324128,88.15726347427618,0.20776169,1.5625247,10.916451,2.6633937,-2.0806465,-10.266855,6.3668137,-42.546913,76.70267,9.388052,11.630422,11.367253,-4.615267,-7.8139777,22.56548,67.43573,-26.827726,3.96254,1.6599699,10.331488,0.3378947,13.47246,5.70552,-9.48105,-1.2803462,7.779455,-4.5936694,10.531589,5.8010745,-11.320444,4.071627
8,-0.11063263565301895,-3.0418384075164795,105.56781005859375,0.531848153287027,-5.5186436332988205,88.14810081931132,0.20133416,1.5676609,10.910525,2.6433606,-2.10964,-10.276242,6.365641,-42.543774,76.71414,9.372046,11.61607,11.32034,-4.6026664,-7.812764,22.549871,67.409004,-26.829685,3.954412,1.6548884,10.33549,0.3392917,13.484039,5.702012,-9.4940605,-1.2833803,7.7747755,-4.5914636,10.541734,5.8011937,-11.329596,4.069502
9,-0.11165823042392731,-3.0197691917419434,105.56768035888672,0.5286191040568361,-5.502145858573965,88.14157051658154,0.20835769,1.5698336,10.905614,2.619703,-2.1357038,-10.302235,6.3639307,-42.519196,76.73186,9.35406,11.604442,11.232596,-4.581164,-7.8105,22.50865,67.365944,-26.820734,3.9690292,1.6822428,10.32414,0.34309947,13.489006,5.707358,-9.504395,-1.2842066,7.767733,-4.5888476,10.549733,5.8019357,-11.340532,4.067368
