Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0.020677221938967705,3.502906560897827,107.49105072021484,-0.3560589433903873,-4.864487525045048,-88.35614227941538,0.95537543,-0.84930855,8.535357,-0.9917176,-7.8170104,-2.9286032,7.974804,-12.751663,70.58297,17.020273,3.9369874,11.863757,-3.005594,-8.487833,18.04455,70.698425,-17.102894,4.5327263,-8.049798,7.779754,5.112209,-3.3772726,5.591258,-8.403484,-5.211467,8.510722,-2.5387712,-14.244442,5.590737,-8.944646,5.4201427
1,0.017191341146826744,3.5088202953338623,107.49327087402344,-0.350061994630054,-4.866450936351022,-88.3495830041178,0.9593884,-0.846242,8.5643635,-1.0115534,-7.8274016,-3.1119215,8.021871,-13.039863,70.784706,16.971003,3.9219098,11.782758,-3.0844886,-8.51473,18.256481,70.77537,-16.991081,4.559862,-7.977728,7.7750397,5.1071887,-3.3875434,5.5922575,-8.3977785,-5.211136,8.5109,-2.5436182,-14.25335,5.590333,-8.941821,5.4183545
2,0.00652304757386446,3.5159294605255127,107.4946517944336,-0.3450121415945801,-4.869913580683959,-88.34367434439635,0.9659186,-0.8484911,8.591157,-1.0316919,-7.8328905,-3.277568,8.082249,-13.348527,70.96714,16.881662,3.9133363,11.717388,-3.148503,-8.53896,18.454765,70.84841,-16.83374,4.5819826,-7.9205036,7.772135,5.107661,-3.3967662,5.5931363,-8.392286,-5.215415,8.511413,-2.543001,-14.261419,5.590379,-8.939529,5.4117293
3,0.007272978313267231,3.5134634971618652,107.49553680419922,-0.339311686982696,-4.870036167032457,-88.3362925425812,0.97718036,-0.8511026,8.618457,-1.059058,-7.844192,-3.4828763,8.154287,-13.710519,71.18137,16.78365,3.896738,11.619025,-3.2454402,-8.56422,18.711761,70.94445,-16.727169,4.607015,-7.8404994,7.7695413,5.100541,-3.4066825,5.595649,-8.391862,-5.212543,8.514064,-2.5500581,-14.272002,5.5915804,-8.941742,5.413479
4,0.0026396941393613815,3.531074047088623,107.49662780761719,-0.33708382445112983,-4.862135790628858,-88.32532015542995,0.997108,-0.8526242,8.64595,-1.1015766,-7.8673034,-3.7878528,8.254369,-14.220671,71.48048,16.646011,3.8591292,11.442345,-3.427804,-8.600753,19.1492,71.09818,-16.716705,4.641047,-7.70583,7.744261,5.1018353,-3.4252305,5.595688,-8.376309,-5.216218,8.494531,-2.550423,-14.27904,5.590924,-8.930272,5.408856
5,-0.0008290473488159478,3.545914888381958,107.4981918334961,-0.3392225893305434,-4.841021488822549,-88.30966519283476,1.0252023,-0.85192037,8.670866,-1.160407,-7.908568,-4.197199,8.383893,-14.910309,71.88356,16.415888,3.7817364,11.161704,-3.7022223,-8.651118,19.831093,71.32486,-16.795221,4.6783495,-7.495829,7.700015,5.108699,-3.4511516,5.6004314,-8.361358,-5.222565,8.458648,-2.5465302,-14.285425,5.5936937,-8.920118,5.4036345
6,0.001255069044418633,3.5532236099243164,107.50043487548828,-0.3451667156784581,-4.81080183811386,-88.29058198879288,1.0557207,-0.8507586,8.694494,-1.2273397,-7.962827,-4.6785016,8.539321,-15.741009,72.35276,16.105066,3.6783597,10.80289,-4.045247,-8.712198,20.712166,71.600716,-16.918535,4.719093,-7.230257,7.648611,5.1173077,-3.4802518,5.604032,-8.347806,-5.2277265,8.416393,-2.5415921,-14.293073,5.59668,-8.91257,5.401694
7,-0.0007369685918092728,3.576885938644409,107.50213623046875,-0.3499695927309522,-4.779643840291411,-88.26949383735571,1.0830033,-0.8505134,8.722316,-1.2950786,-8.021015,-5.234878,8.718818,-16.663645,72.85526,15.82041,3.5821817,10.394106,-4.462374,-8.780734,21.715483,71.90142,-17.112818,4.776814,-6.932745,7.5851192,5.1274495,-3.5148551,5.607436,-8.324163,-5.2359095,8.3627205,-2.5358295,-14.299421,5.599176,-8.895179,5.395961
8,-0.006698863580822945,3.6044623851776123,107.50533294677734,-0.3520540498881981,-4.754811281626349,-88.24718787117668,1.1028048,-0.8536445,8.758956,-1.3576012,-8.074286,-5.8707023,8.921915,-17.630054,73.36084,15.670434,3.52497,9.964166,-4.9588127,-8.855415,22.757393,72.20493,-17.410316,4.8638024,-6.6266923,7.525445,5.1362915,-3.550431,5.6116695,-8.298971,-5.244521,8.313293,-2.5311666,-14.30866,5.6026244,-8.876569,5.389035
9,-0.016222799196839333,3.6336450576782227,107.50878143310547,-0.3498717616848163,-4.741959900870036,-88.22310079279053,1.1165996,-0.8595423,8.813315,-1.4199368,-8.120916,-6.5919867,9.145094,-18.661966,73.87141,15.712166,3.5115535,9.483162,-5.530606,-8.930508,23.837996,72.50166,-17.88171,5.0027633,-6.291956,7.4773917,5.1414914,-3.5857449,5.6180525,-8.275443,-5.2517657,8.27835,-2.528903,-14.32433,5.6065116,-8.85999,5.382326
