Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0,0,106.81769561767578,-0.05721158541830669,-7.436183563055202,-86.043713757322,0.31490096,-0.05532032,10.296823,4.469896,-18.208618,-0.81669974,9.248975,-21.957012,64.663956,9.013161,6.6865473,6.227418,-4.275641,-9.181529,18.707022,64.87814,-20.7429,7.7693567,-4.420923,8.171333,-2.6257372,-0.8319841,5.5482736,-7.497354,1.013571,9.267803,1.8035344,-11.789339,5.563725,-8.203325,-1.518734
1,0.0327174663544,0.0749969482422,106.82241821289062,-0.05363988432016081,-7.407499093045047,-85.98872958193944,0.27582926,-0.047315452,10.353703,4.4471254,-18.409004,-0.945036,9.245934,-21.95114,64.77799,9.10099,6.756546,6.1853676,-4.3831625,-9.193534,18.742615,64.943634,-20.766434,7.7948003,-4.403917,8.073435,-2.654667,-0.91042286,5.5528607,-7.429162,1.0405315,9.184667,1.7682854,-11.819471,5.5709577,-8.153997,-1.4992414
2,0.0465407371521,0.155349731445,106.82896423339844,-0.04358641125017711,-7.3814752564510036,-85.9184017365089,0.21162333,-0.053834375,10.41853,4.4430575,-18.622803,-1.0681278,9.254066,-21.97135,64.90185,9.180141,6.8311267,6.1810718,-4.5024133,-9.201892,18.804228,65.015785,-20.77465,7.840598,-4.3907413,7.9750004,-2.6799028,-1.0048918,5.5542684,-7.3541512,1.0545127,9.102037,1.7364305,-11.865825,5.5781255,-8.104924,-1.4887011
3,0.0726473331451,0.253646850586,106.83672332763672,-0.032526245689267014,-7.357000940887202,-85.83642007525475,0.13346913,-0.069181524,10.491008,4.43514,-18.853258,-1.1938803,9.269125,-21.998634,65.023605,9.24067,6.918791,6.1895556,-4.620432,-9.203383,18.846502,65.07705,-20.78868,7.890661,-4.3759737,7.866634,-2.7154465,-1.111286,5.554391,-7.265764,1.0778414,9.011547,1.6939042,-11.922886,5.586498,-8.046214,-1.4707893
4,0.0975301265717,0.355590820312,106.84303283691406,-0.02384330241468069,-7.333599602745884,-85.74580349560136,0.042680077,-0.08812656,10.568903,4.4174366,-19.09443,-1.3253176,9.295402,-22.03313,65.13139,9.243621,7.025703,6.1929264,-4.740405,-9.200532,18.886108,65.125786,-20.773602,7.9319777,-4.3655167,7.7561116,-2.7481732,-1.2221907,5.552968,-7.1717787,1.1043159,8.923268,1.6554322,-11.989648,5.590761,-7.984635,-1.4554311
5,0.110424280167,0.465698242188,106.84767150878906,-0.01716903648869783,-7.316358249926743,-85.64191882018596,-0.06795052,-0.11654609,10.660611,4.3903046,-19.352776,-1.4500325,9.344866,-22.0822,65.18903,9.141776,7.184165,6.1884284,-4.8681417,-9.190459,18.928444,65.16685,-20.707956,7.96119,-4.3606086,7.645062,-2.7724242,-1.3391689,5.5534143,-7.071827,1.1296134,8.8338375,1.6261374,-12.070462,5.6011,-7.92327,-1.4502746
6,0.141687870026,0.575546264648,106.85568237304688,-0.01348460006495008,-7.302176485281573,-85.52404334498613,-0.20123023,-0.16483672,10.767172,4.3615155,-19.633453,-1.5472109,9.448813,-22.143492,65.16675,8.960361,7.391672,6.1759734,-5.0055237,-9.163162,18.962523,65.20095,-20.623245,7.982558,-4.3561096,7.5360274,-2.8060372,-1.4643466,5.554811,-6.9701552,1.1703397,8.750369,1.5887545,-12.167624,5.611006,-7.8617153,-1.4350731
7,0.162656784058,0.696228027344,106.86151885986328,-0.009298461367633373,-7.282854836213644,-85.40524080184268,-0.33954594,-0.21347903,10.873651,4.326748,-19.923485,-1.6484388,9.549643,-22.186857,65.14306,8.79126,7.5864325,6.1598134,-5.137446,-9.132407,18.97221,65.21198,-20.551239,8.000711,-4.3514695,7.414549,-2.8341794,-1.5924852,5.5547023,-6.8601074,1.2057022,8.654139,1.5562075,-12.262669,5.619548,-7.7928977,-1.4271008
8,0.18359208107,0.811172485352,106.86830139160156,-0.0060153360800396126,-7.248872616876125,-85.2978854150391,-0.4690498,-0.25560308,10.966727,4.2867756,-20.213882,-1.7582076,9.641493,-22.225908,65.13668,8.67106,7.724438,6.1412573,-5.2607346,-9.101777,18.968842,65.197,-20.501614,8.016396,-4.35334,7.278218,-2.8604565,-1.7162874,5.555032,-6.75183,1.2381368,8.540354,1.5238984,-12.340798,5.630061,-7.7239523,-1.4190109
9,0.204469919205,0.948944091797,106.87571716308594,-0.005409663948576908,-7.20259821192839,-85.19384987946896,-0.60221213,-0.30338982,11.050544,4.2486267,-20.508352,-1.8425642,9.769612,-22.278042,65.08707,8.58122,7.8054423,6.109578,-5.3826957,-9.0552225,18.944412,65.16498,-20.490442,8.025149,-4.362983,7.113204,-2.883834,-1.8475921,5.556114,-6.62972,1.2675115,8.397736,1.4923639,-12.406992,5.6385293,-7.63819,-1.4117994
10,0.234366178513,1.08232116699,106.88292694091797,-0.004782323479557122,-7.147801684752566,-85.09114662147255,-0.73763454,-0.3461896,11.124706,4.2055655,-20.804976,-1.9355956,9.887102,-22.324387,65.05946,8.528542,7.8337517,6.0749526,-5.4957256,-9.009955,18.903221,65.107834,-20.497955,8.032984,-4.3775,6.940577,-2.9128315,-1.9818313,5.556623,-6.508655,1.3015397,8.24562,1.4545745,-12.468765,5.648861,-7.5527782,-1.3983427
11,0.263637304306,1.21368408203,106.8919448852539,-0.004597355074602142,-7.076024755559805,-85.00822982407433,-0.85333455,-0.38065913,11.18697,4.152564,-21.103369,-2.0500004,9.984768,-22.366953,65.05797,8.507787,7.831291,6.0436263,-5.6012964,-8.971532,18.86037,65.023994,-20.507751,8.038233,-4.3976746,6.750216,-2.939957,-2.102288,5.5565205,-6.3877325,1.3327628,8.070427,1.416652,-12.504644,5.660417,-7.4629016,-1.3864281
12,0.290909528732,1.35485839844,106.9000015258789,-0.0008600838451500124,-6.976891418584616,-84.96494345994712,-0.9278623,-0.41091335,11.236907,4.086866,-21.410292,-2.1838953,10.075026,-22.411213,65.05367,8.503925,7.829647,6.017233,-5.705509,-8.935866,18.82537,64.91671,-20.510918,8.036114,-4.4242425,6.524329,-2.9682887,-2.1930127,5.554761,-6.2593894,1.3602446,7.8464375,1.3732142,-12.48941,5.676152,-7.3559365,-1.3786634
13,0.327251195908,1.48709106445,106.9100112915039,0.004888519034994114,-6.847685273425454,-84.97183075646699,-0.95485634,-0.4483862,11.283816,4.0153275,-21.737206,-2.3148565,10.196129,-22.471998,64.98656,8.5052395,7.8460736,5.9932976,-5.8218794,-8.8886595,18.797295,64.79167,-20.515787,8.017675,-4.46815,6.2692966,-3.0022473,-2.242671,5.5563293,-6.1373496,1.3900613,7.5611215,1.3155899,-12.410105,5.7384195,-7.2625313,-1.3684663
14,0.361253738403,1.63423156738,106.92032623291016,0.012697767210902452,-6.693752718176695,-85.0170673134296,-0.94818336,-0.47905856,11.321913,3.9385567,-22.073353,-2.4647777,10.302656,-22.524029,64.924385,8.542488,7.8489027,5.975575,-5.9407945,-8.8479,18.7875,64.63943,-20.50965,7.9928465,-4.5251727,5.977406,-3.0358632,-2.2645528,5.5582027,-6.0057907,1.4159447,7.109358,1.2282422,-12.252928,6.038412,-7.266192,-1.3619926
15,0.385326623917,1.85565185547,106.93061065673828,0.020676631870932483,-6.5194968201558,-85.0839173791045,-0.91915315,-0.5022617,11.341853,3.849269,-22.406605,-2.6336105,10.3887005,-22.565393,64.88327,8.590953,7.8431406,5.959966,-6.0523906,-8.816133,18.788603,64.47138,-20.49214,7.9672837,-4.57556,5.6182785,-3.0644135,-2.279965,5.556102,-5.8267045,1.4339448,6.531599,1.1316866,-12.042401,6.437072,-7.266701,-1.3658694
16,0.421498537064,2.02154541016,106.93937683105469,0.02255960960698899,-6.330123426602981,-85.15431056875293,-0.8854594,-0.52709895,11.340745,3.747193,-22.727983,-2.790256,10.489813,-22.603966,64.814964,8.601312,7.85195,5.9348197,-6.1574197,-8.7779,18.796236,64.30848,-20.465834,7.9414487,-4.6012626,5.274714,-3.0903192,-2.2875943,5.5553875,-5.6808853,1.4554485,6.0085955,1.0497944,-11.83801,6.7582035,-7.258694,-1.3588208
17,0.458027839661,2.16801452637,106.94541931152344,0.01035394985592796,-6.129272226190729,-85.21786325565371,-0.8539809,-0.5415356,11.312492,3.6264353,-23.023834,-2.9458258,10.58372,-22.627747,64.75177,8.574674,7.870197,5.89435,-6.244801,-8.740838,18.810307,64.146416,-20.413883,7.9171305,-4.587381,4.9287753,-3.0979555,-2.2992992,5.556783,-5.5483785,1.4709495,5.514226,0.9951502,-11.641002,7.017934,-7.2316384,-1.3498949
18,0.49614071846,2.33418273926,106.95158386230469,-0.012785824853104453,-5.914974389998572,-85.285351894636,-0.8171911,-0.549504,11.263918,3.4917533,-23.305552,-3.0977478,10.679782,-22.642502,64.678444,8.521654,7.8971443,5.8429656,-6.3228126,-8.701628,18.831976,63.98345,-20.34405,7.890936,-4.5478063,4.5548687,-3.093063,-2.311303,5.5578723,-5.4034247,1.4824477,5.0108876,0.958066,-11.433589,7.2344465,-7.1679254,-1.3413634
19,0.526970624924,2.51481628418,106.9571533203125,-0.0327691793052198,-5.6833785876424905,-85.37264049583854,-0.76532197,-0.5627545,11.201166,3.3521695,-23.589102,-3.24839,10.776891,-22.64283,64.595314,8.468368,7.925717,5.796454,-6.4055953,-8.659384,18.86604,63.826572,-20.283237,7.86634,-4.5048876,4.153349,-3.0866857,-2.3119836,5.5552425,-5.2469573,1.4889398,4.4527535,0.9189084,-11.195064,7.489796,-7.107298,-1.3384321
20,0.557221889496,2.71759033203,106.95890045166016,-0.03892383960101289,-5.43082608703597,-85.49482343932372,-0.68818474,-0.5902667,11.129605,3.2149284,-23.890413,-3.4053416,10.86798,-22.62271,64.5131,8.443906,7.945903,5.771467,-6.505131,-8.615509,18.916113,63.681484,-20.258091,7.8478255,-4.48105,3.7134216,-3.0965831,-2.2921438,5.5543356,-5.0772476,1.4989406,3.7807758,0.8507427,-10.901331,7.8815565,-7.090392,-1.337524
21,0.59147644043,2.89863586426,106.96012878417969,-0.03249733610020403,-5.15060530070638,-85.65882098861645,-0.5813239,-0.6312032,11.044418,3.0830917,-24.212252,-3.5592432,10.958833,-22.578123,64.41907,8.467267,7.9613605,5.780144,-6.6267533,-8.56531,18.993296,63.55656,-20.286757,7.8354073,-4.492379,3.2558968,-3.1221104,-2.242189,5.5529027,-4.918883,1.5151416,3.053654,0.7645737,-10.563158,8.326176,-7.097961,-1.3362916
22,0.620709657669,3.10108947754,106.95510864257812,-0.019541282929679833,-4.847846994688577,-85.85503508038033,-0.4517188,-0.6793051,10.944957,2.9525294,-24.54559,-3.7132914,11.045124,-22.509865,64.32163,8.523382,7.972654,5.8119884,-6.7639017,-8.510947,19.09386,63.44839,-20.350365,7.8275075,-4.5240083,2.759356,-3.1519115,-2.1735668,5.5499997,-4.7451215,1.5302938,2.2269924,0.66798574,-10.175229,8.874314,-7.134359,-1.341467
23,0.650968074799,3.30250549316,106.95060729980469,0.003719632728439887,-4.535749043398511,-86.07525908736652,-0.31153738,-0.74554795,10.846932,2.8280346,-24.892664,-3.8699253,11.13096,-22.41844,64.217,8.577351,7.977715,5.8450685,-6.9220037,-8.449449,19.20778,63.354843,-20.419914,7.82225,-4.553604,2.2526524,-3.1940036,-2.0853655,5.548591,-4.5737686,1.5476311,1.3784151,0.5644428,-9.757868,9.432157,-7.1680593,-1.3450928
