source_line,stamp,time_s,mode,result,active,waist_yaw_policy_raw,waist_yaw_q_exec_rad,waist_yaw_q_feedback_rad,waist_yaw_position_error_rad,waist_yaw_position_error_deg,waist_yaw_tau_theoretical_nm,waist_yaw_tau_feedback_nm,waist_yaw_torque_discrepancy_nm,waist_roll_policy_raw,waist_roll_q_exec_rad,waist_roll_q_feedback_rad,waist_roll_position_error_rad,waist_roll_position_error_deg,waist_roll_tau_theoretical_nm,waist_roll_tau_feedback_nm,waist_roll_torque_discrepancy_nm,waist_pitch_policy_raw,waist_pitch_q_exec_rad,waist_pitch_q_feedback_rad,waist_pitch_position_error_rad,waist_pitch_position_error_deg,waist_pitch_tau_theoretical_nm,waist_pitch_tau_feedback_nm,waist_pitch_torque_discrepancy_nm
82,1787109584.9941714,0.0,motion,command_sent,True,0.914,0.228,0.24,-0.011999999999999983,-0.6875493541569869,-1.261,-3.443,2.1820000000000004,0.636,0.159,-0.018,0.177,10.14135297381557,8.958,8.667,0.29100000000000037,-0.911,-0.228,-0.149,-0.07900000000000001,-4.526366581533504,-11.587,-11.383,-0.20400000000000063
83,1787109585.9942105,1.0000391006469727,motion,command_sent,True,2.013,0.503,0.526,-0.02300000000000002,-1.3178029288008946,-3.537,-2.271,-1.266,-0.403,-0.101,0.088,-0.189,-10.828902327972559,-9.197,-9.766,0.5690000000000008,-0.961,-0.24,-0.103,-0.137,-7.849521793292279,-20.574,-20.591,0.01699999999999946
84,1787109586.9941828,2.000011444091797,motion,command_sent,True,2.185,0.546,0.538,0.008000000000000007,0.458366236104659,1.316,1.245,0.07099999999999995,-0.294,-0.074,0.017,-0.091,-5.213915935690491,-4.554,-4.542,-0.012000000000000455,-1.02,-0.255,-0.135,-0.12,-6.875493541569878,-17.816,-16.902,-0.9139999999999979
86,1787109587.9942102,3.0000388622283936,motion,command_sent,True,0.286,0.072,0.088,-0.016,-0.9167324722093172,1.971,2.418,-0.44700000000000006,-0.347,-0.087,-0.013,-0.074,-4.2398876839680915,-1.645,-3.449,1.8039999999999998,-0.217,-0.054,0.03,-0.08399999999999999,-4.812845479098915,-13.323,-18.005,4.681999999999999
88,1787109588.9941783,4.000006914138794,motion,command_sent,True,1.753,0.438,0.397,0.04099999999999998,2.349126960036374,6.022,4.176,1.846,-0.262,-0.065,0.037,-0.10200000000000001,-5.844169510334397,-4.781,-5.237,0.4560000000000004,0.488,0.122,0.355,-0.23299999999999998,-13.34991662654818,-34.551,-32.729,-1.8220000000000027
90,1787109589.994214,5.000042676925659,motion,command_sent,True,1.073,0.268,0.27,-0.0020000000000000018,-0.11459155902616475,0.411,-0.952,1.363,-0.532,-0.133,0.091,-0.224,-12.83425461093044,-12.316,-9.324,-2.992000000000001,-0.65,-0.163,0.018,-0.181,-10.3705360918679,-26.387,-22.787,-3.6000000000000014
91,1787109590.9941888,6.000017404556274,motion,command_sent,True,0.855,0.214,0.225,-0.01100000000000001,-0.6302535746439061,-1.64,-1.538,-0.10199999999999987,-0.222,-0.056,0.072,-0.128,-7.333859777674538,-6.341,-6.387,0.045999999999999375,-0.586,-0.147,0.015,-0.16199999999999998,-9.281916281119335,-24.297,-24.055,-0.24200000000000088
92,1787109591.994229,7.000057697296143,motion,command_sent,True,0.834,0.208,0.22,-0.01200000000000001,-0.6875493541569885,-1.77,-1.978,0.20799999999999996,-0.215,-0.054,0.07,-0.124,-7.104676659622208,-6.153,-6.192,0.03900000000000059,-0.586,-0.147,0.016,-0.16299999999999998,-9.339212060632418,-24.446,-24.261,-0.18500000000000227
93,1787109592.9941704,7.999999046325684,motion,command_sent,True,0.828,0.207,0.22,-0.013000000000000012,-0.7448451336700709,-1.903,-1.832,-0.07099999999999995,-0.216,-0.054,0.07,-0.124,-7.104676659622208,-6.187,-6.24,0.052999999999999936,-0.576,-0.144,0.017,-0.16099999999999998,-9.224620501606253,-24.089,-23.864,-0.22499999999999787
94,1787109593.9942076,9.000036239624023,motion,command_sent,True,0.825,0.206,0.216,-0.010000000000000009,-0.5729577951308238,-1.411,-1.538,0.127,-0.206,-0.051,0.07,-0.121,-6.932789321082961,-6.055,-6.101,0.04600000000000026,-0.572,-0.143,0.017,-0.15999999999999998,-9.16732472209317,-23.919,-23.662,-0.25700000000000145
95,1787109594.994171,9.999999523162842,motion,command_sent,True,0.815,0.204,0.212,-0.008000000000000007,-0.458366236104659,-1.335,-0.806,-0.5289999999999999,-0.293,-0.073,0.081,-0.154,-8.823550045014677,-7.636,-7.893,0.2569999999999997,-0.581,-0.145,0.027,-0.172,-9.854874076250159,-25.814,-25.916,0.10200000000000031
96,1787109595.9942255,11.000054121017456,motion,command_sent,True,0.792,0.198,0.211,-0.012999999999999984,-0.7448451336700692,-2.006,-2.418,0.41200000000000037,-0.223,-0.056,0.07,-0.126,-7.219268218648373,-6.285,-6.321,0.03599999999999959,-0.582,-0.146,0.031,-0.177,-10.14135297381557,-26.513,-26.461,-0.052000000000003155
97,1787109596.9941952,12.00002384185791,motion,command_sent,True,0.242,0.061,0.103,-0.041999999999999996,-2.4064227395494573,-4.334,-3.297,-1.0369999999999995,-0.22,-0.055,0.067,-0.122,-6.990085100596043,-6.073,-5.032,-1.0410000000000004,-0.154,-0.039,0.081,-0.12,-6.875493541569878,-18.64,-23.578,4.937999999999999
98,1787109597.9942384,13.000066995620728,motion,command_sent,True,-0.215,-0.054,-0.057,0.0030000000000000027,0.17188733853924712,0.467,-0.22,0.687,-0.052,-0.013,0.044,-0.056999999999999995,-3.265859432245692,-2.818,-2.856,0.03799999999999981,2.544,0.419,0.425,-0.006000000000000005,-0.34377467707849424,-0.874,-0.744,-0.13
99,1787109598.99418,14.000008583068848,motion,command_sent,True,-0.202,-0.05,-0.056,0.005999999999999998,0.34377467707849385,0.883,0.513,0.37,-0.011,-0.003,0.044,-0.047,-2.6929016371148693,-2.312,-2.387,0.07500000000000018,2.565,0.419,0.425,-0.006000000000000005,-0.34377467707849424,-0.96,-0.904,-0.05599999999999994
100,1787109599.994232,15.000060558319092,motion,command_sent,True,-0.176,-0.044,-0.048,0.0040000000000000036,0.2291831180523295,0.537,0.366,0.17100000000000004,0.053,0.013,0.042,-0.029000000000000005,-1.6615776058793876,-1.415,-1.271,-0.14400000000000013,2.53,0.419,0.427,-0.008000000000000007,-0.458366236104659,-1.253,-0.947,-0.30599999999999994
101,1787109600.9941905,16.000019073486328,motion,command_sent,True,-0.166,-0.041,-0.048,0.006999999999999999,0.4010704565915762,0.952,0.513,0.43899999999999995,0.038,0.01,0.042,-0.032,-1.8334649444186344,-1.618,-1.782,0.16399999999999992,2.529,0.419,0.427,-0.008000000000000007,-0.458366236104659,-1.252,-1.057,-0.19500000000000006
102,1787109601.9942098,17.000038385391235,motion,command_sent,True,-0.165,-0.041,-0.048,0.006999999999999999,0.4010704565915762,0.98,0.952,0.028000000000000025,0.04,0.01,0.042,-0.032,-1.8334649444186344,-1.594,-1.611,0.016999999999999904,2.527,0.419,0.427,-0.008000000000000007,-0.458366236104659,-1.252,-0.961,-0.29100000000000004
103,1787109602.9941766,18.00000524520874,motion,command_sent,True,-0.16,-0.04,-0.045,0.0049999999999999975,0.28647889756541145,0.802,0.366,0.43600000000000005,0.026,0.006,0.045,-0.039,-2.2345354010102105,-1.91,-1.956,0.04600000000000004,2.509,0.419,0.428,-0.009000000000000008,-0.5156620156177414,-1.32,-1.159,-0.16100000000000003
104,1787109603.9942296,19.0000581741333,motion,command_sent,True,-0.147,-0.037,-0.034,-0.0029999999999999957,-0.17188733853924673,-0.177,0.073,-0.25,0.163,0.041,0.061,-0.019999999999999997,-1.1459155902616462,-0.407,-2.019,1.612,2.364,0.419,0.43,-0.01100000000000001,-0.6302535746439061,-1.574,-0.478,-1.096
105,1787109604.9941883,20.000016927719116,motion,command_sent,True,-0.129,-0.032,-0.03,-0.0020000000000000018,-0.11459155902616475,-0.314,-0.366,0.05199999999999999,-0.093,-0.023,0.055,-0.078,-4.469070802020421,-3.91,-3.974,0.06400000000000006,2.408,0.419,0.429,-0.010000000000000009,-0.5729577951308238,-1.538,-1.378,-0.16000000000000014
106,1787109605.9942167,21.00004529953003,motion,command_sent,True,-0.124,-0.031,-0.032,0.0010000000000000009,0.05729577951308237,-0.029,2.125,-2.154,0.012,0.003,0.064,-0.061,-3.4950425502980216,-3.048,-1.33,-1.718,2.336,0.419,0.43,-0.01100000000000001,-0.6302535746439061,-1.71,-1.429,-0.2809999999999999
107,1787109606.994178,22.000006675720215,motion,command_sent,True,-0.11,-0.027,-0.031,0.004,0.2291831180523293,0.658,0.366,0.29200000000000004,0.012,0.003,0.051,-0.047999999999999994,-2.7501974166279513,-2.304,-2.481,0.17700000000000005,2.393,0.419,0.429,-0.010000000000000009,-0.5729577951308238,-1.503,-1.647,0.14400000000000013
108,1787109607.994236,23.000064611434937,motion,command_sent,True,-0.117,-0.029,-0.037,0.007999999999999997,0.4583662361046584,1.191,0.952,0.2390000000000001,0.071,0.018,0.04,-0.022000000000000002,-1.2605071492878113,-1.089,-1.174,0.08499999999999996,2.527,0.419,0.428,-0.009000000000000008,-0.5156620156177414,-1.395,-1.21,-0.18500000000000005
109,1787109608.9941754,24.000004053115845,motion,command_sent,True,-0.12,-0.03,-0.031,0.0010000000000000009,0.05729577951308237,0.241,0.22,0.02099999999999999,0.022,0.006,0.046,-0.04,-2.291831180523293,-2.048,-2.097,0.04899999999999993,2.504,0.419,0.429,-0.010000000000000009,-0.5729577951308238,-1.46,-1.349,-0.11099999999999999
110,1787109609.9942055,25.00003409385681,motion,command_sent,True,-0.125,-0.031,-0.031,0.0,0.0,-0.09,-0.073,-0.017,0.011,0.003,0.048,-0.045,-2.5783100780887045,-2.226,-2.335,0.10899999999999999,2.487,0.419,0.429,-0.010000000000000009,-0.5729577951308238,-1.474,-1.273,-0.20100000000000007
111,1787109610.9941778,26.000006437301636,motion,command_sent,True,-0.123,-0.031,-0.031,0.0,0.0,-0.027,0.22,-0.247,-0.01,-0.002,0.048,-0.05,-2.8647889756541165,-2.489,-2.51,0.020999999999999908,2.493,0.419,0.429,-0.010000000000000009,-0.5729577951308238,-1.474,-1.55,0.07600000000000007
112,1787109611.9942265,27.000055074691772,motion,command_sent,True,-0.123,-0.031,-0.031,0.0,0.0,-0.002,-0.22,0.218,0.006,0.002,0.048,-0.046,-2.635605857601787,-2.288,-2.267,-0.020999999999999908,2.49,0.419,0.429,-0.010000000000000009,-0.5729577951308238,-1.474,-1.27,-0.20399999999999996
113,1787109612.9941823,28.00001096725464,motion,command_sent,True,-0.129,-0.032,-0.031,-0.0010000000000000009,-0.05729577951308237,-0.221,-0.22,-0.0010000000000000009,0.007,0.002,0.048,-0.046,-2.635605857601787,-2.286,-2.299,0.0129999999999999,2.487,0.419,0.429,-0.010000000000000009,-0.5729577951308238,-1.474,-1.182,-0.29200000000000004
114,1787109613.994209,29.000037670135498,motion,command_sent,True,-0.117,-0.029,-0.033,0.004,0.2291831180523293,0.627,0.22,0.40700000000000003,0.024,0.006,0.047,-0.041,-2.3491269600363753,-2.044,-2.166,0.12199999999999989,2.483,0.419,0.429,-0.010000000000000009,-0.5729577951308238,-1.45,-1.354,-0.09599999999999986
115,1787109614.9941785,30.000007152557373,motion,command_sent,True,-0.088,-0.022,-0.045,0.023,1.3178029288008934,3.316,3.004,0.31199999999999983,0.199,0.05,0.033,0.017,0.9740282517223996,0.663,1.009,-0.34599999999999986,2.454,0.419,0.426,-0.007000000000000006,-0.40107045659157664,-1.014,-0.595,-0.41900000000000004
116,1787109615.9942408,31.00006937980652,motion,command_sent,True,-0.197,-0.049,-0.035,-0.013999999999999999,-0.8021409131831524,-2.161,-2.711,0.5499999999999998,0.324,0.081,0.013,0.068,3.8961130068895984,3.466,3.127,0.3390000000000004,2.523,0.419,0.418,0.0010000000000000009,0.05729577951308237,0.149,-0.139,0.28800000000000003
117,1787109616.9941795,32.00000810623169,motion,command_sent,True,-0.168,-0.042,-0.035,-0.006999999999999999,-0.4010704565915762,-1.048,-1.538,0.49,0.405,0.101,0.011,0.09000000000000001,5.15662015617741,4.369,4.567,-0.1980000000000004,2.555,0.419,0.425,-0.006000000000000005,-0.34377467707849424,-0.994,-1.023,0.028999999999999915
118,1787109617.9942293,33.00005793571472,motion,command_sent,True,-0.16,-0.04,-0.027,-0.013000000000000001,-0.7448451336700702,-1.906,-2.271,0.365,0.274,0.069,0.02,0.049,2.807493196141034,2.374,2.566,-0.19199999999999973,2.592,0.419,0.424,-0.0050000000000000044,-0.2864788975654119,-0.731,-0.576,-0.15500000000000003
119,1787109618.9941797,34.00000834465027,motion,command_sent,True,-0.155,-0.039,-0.038,-0.0010000000000000009,-0.05729577951308237,-0.063,-0.073,0.009999999999999995,0.287,0.072,0.021,0.05099999999999999,2.922084755167198,2.523,2.257,0.266,2.603,0.419,0.424,-0.0050000000000000044,-0.2864788975654119,-0.757,-1.025,0.2679999999999999
120,1787109619.9942443,35.000072956085205,motion,command_sent,True,-0.137,-0.034,-0.034,0.0,0.0,0.026,-0.073,0.09899999999999999,0.263,0.066,0.03,0.036000000000000004,2.0626480624709638,1.823,1.475,0.34799999999999986,2.549,0.419,0.427,-0.008000000000000007,-0.458366236104659,-1.179,-1.48,0.30099999999999993
121,1787109620.9941838,36.00001239776611,motion,command_sent,True,-0.144,-0.036,-0.034,-0.001999999999999995,-0.11459155902616434,-0.326,-0.366,0.03999999999999998,0.032,0.008,0.048,-0.04,-2.291831180523293,-1.949,-2.017,0.06799999999999984,2.532,0.419,0.427,-0.008000000000000007,-0.458366236104659,-1.196,-0.809,-0.3869999999999999
122,1787109621.9942088,37.00003743171692,motion,command_sent,True,-0.133,-0.033,-0.031,-0.0020000000000000018,-0.11459155902616475,-0.34,-0.659,0.319,0.026,0.007,0.046,-0.039,-2.2345354010102105,-1.955,-2.024,0.06899999999999995,2.548,0.419,0.428,-0.009000000000000008,-0.5156620156177414,-1.304,-1.164,-0.14000000000000012
123,1787109622.994182,38.00001072883606,motion,command_sent,True,-0.137,-0.034,-0.025,-0.009000000000000001,-0.5156620156177409,-1.369,-1.832,0.4630000000000001,0.08,0.02,0.044,-0.023999999999999997,-1.3750987083139756,-1.262,-0.894,-0.368,2.492,0.419,0.427,-0.008000000000000007,-0.458366236104659,-1.316,-0.665,-0.651
124,1787109623.9942267,39.00005531311035,motion,command_sent,True,-0.18,-0.045,-0.031,-0.013999999999999999,-0.8021409131831524,-2.01,-2.271,0.2610000000000001,0.153,0.038,0.032,0.005999999999999998,0.34377467707849385,0.334,0.129,0.20500000000000002,2.577,0.419,0.421,-0.0020000000000000018,-0.11459155902616475,-0.381,-0.441,0.06
125,1787109624.994241,40.0000696182251,motion,command_sent,True,-0.255,-0.064,-0.033,-0.031,-1.776169164905552,-4.547,-3.883,-0.6639999999999997,0.198,0.049,0.044,0.0050000000000000044,0.2864788975654119,0.455,0.3,0.15500000000000003,2.383,0.419,0.378,0.04099999999999998,2.349126960036374,5.873,4.287,1.5860000000000003
