source_line,stamp,time_s,mode,result,active,waist_yaw_policy_raw,waist_yaw_q_exec_rad,waist_yaw_q_feedback_rad,waist_yaw_position_error_rad,waist_yaw_position_error_deg,waist_yaw_tau_theoretical_nm,waist_yaw_tau_feedback_nm,waist_yaw_torque_discrepancy_nm,waist_roll_policy_raw,waist_roll_q_exec_rad,waist_roll_q_feedback_rad,waist_roll_position_error_rad,waist_roll_position_error_deg,waist_roll_tau_theoretical_nm,waist_roll_tau_feedback_nm,waist_roll_torque_discrepancy_nm,waist_pitch_policy_raw,waist_pitch_q_exec_rad,waist_pitch_q_feedback_rad,waist_pitch_position_error_rad,waist_pitch_position_error_deg,waist_pitch_tau_theoretical_nm,waist_pitch_tau_feedback_nm,waist_pitch_torque_discrepancy_nm
66,1787114151.9174933,0.0,motion,command_sent,True,2.016,0.504,0.444,0.06,3.437746770784939,8.065,7.985,0.07999999999999918,-0.34,-0.085,0.067,-0.15200000000000002,-8.708958485988514,-7.965,-7.225,-0.7400000000000002,-0.864,-0.216,-0.15,-0.066,-3.7815214478634336,-9.963,-10.738,0.7750000000000004
67,1787114152.9174922,0.9999988079071045,motion,command_sent,True,2.073,0.518,0.531,-0.013000000000000012,-0.7448451336700709,-1.641,-1.099,-0.542,-0.336,-0.084,0.06,-0.14400000000000002,-8.250592249883855,-7.097,-7.437,0.33999999999999986,-0.935,-0.234,-0.092,-0.14200000000000002,-8.13600069085769,-21.305,-20.975,-0.3299999999999983
69,1787114153.9174943,2.0000009536743164,motion,command_sent,True,-0.165,-0.041,0.079,-0.12,-6.875493541569878,-16.959,-12.967,-3.991999999999999,1.806,0.349,0.04,0.309,17.704395869542438,19.621,15.391,4.229999999999999,0.112,0.028,0.156,-0.128,-7.333859777674538,-19.405,-21.039,1.6340000000000003
71,1787114154.9175105,3.0000171661376953,motion,command_sent,True,1.527,0.382,0.346,0.03600000000000003,2.0626480624709655,4.376,3.297,1.0790000000000002,-0.35,-0.087,0.072,-0.15899999999999997,-9.110028942580088,-7.673,-7.574,-0.0990000000000002,0.71,0.177,0.326,-0.14900000000000002,-8.537071147449268,-22.416,-22.384,-0.03200000000000003
73,1787114155.9174972,4.000003814697266,motion,command_sent,True,0.765,0.191,0.197,-0.006000000000000005,-0.34377467707849424,-0.28,-0.073,-0.20700000000000002,-0.348,-0.087,0.108,-0.195,-11.172677005051053,-10.003,-8.224,-1.779,-0.037,-0.009,0.114,-0.123,-7.047380880109126,-18.889,-22.662,3.7729999999999997
74,1787114156.9175003,5.000006914138794,motion,command_sent,True,-0.39,-0.097,-0.065,-0.032,-1.8334649444186344,-4.669,-4.176,-0.49299999999999944,0.385,0.096,0.005,0.091,5.213915935690491,4.566,4.626,-0.0600000000000005,2.169,0.29,0.382,-0.09200000000000003,-5.271211715203576,-13.929,-14.905,0.9759999999999991
75,1787114157.9174953,6.000001907348633,motion,command_sent,True,-0.425,-0.106,-0.096,-0.009999999999999995,-0.5729577951308229,-1.502,-1.538,0.03600000000000003,0.167,0.042,0.032,0.010000000000000002,0.5729577951308233,0.491,0.368,0.123,2.503,0.29,0.416,-0.126,-7.219268218648373,-18.963,-18.513,-0.4499999999999993
76,1787114158.9175134,7.0000200271606445,motion,command_sent,True,-0.333,-0.083,-0.071,-0.01200000000000001,-0.6875493541569885,-1.763,-1.685,-0.07799999999999985,0.373,0.093,0.028,0.065,3.724225668350351,3.279,3.098,0.18100000000000005,2.669,0.29,0.399,-0.10900000000000004,-6.2452399669259755,-16.339,-15.961,-0.37799999999999834
77,1787114159.9174998,8.000006437301636,motion,command_sent,True,-0.331,-0.083,-0.073,-0.010000000000000009,-0.5729577951308238,-1.442,-1.245,-0.19699999999999984,0.413,0.103,0.027,0.076,4.354479242994256,3.821,3.61,0.2110000000000003,2.669,0.29,0.404,-0.11400000000000005,-6.5317188644913875,-17.142,-16.647,-0.495000000000001
78,1787114160.9175138,9.000020503997803,motion,command_sent,True,-0.343,-0.086,-0.075,-0.010999999999999996,-0.6302535746439053,-1.634,-1.538,-0.09599999999999986,0.269,0.067,0.032,0.035,2.0053522829578814,1.762,1.444,0.31800000000000006,2.619,0.29,0.398,-0.10800000000000004,-6.187944187412893,-16.289,-16.417,0.1280000000000001
